Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Jul 2016,31 Jul 2017,31 Jul 2018,31 Jul 2019,31 Jul 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,0,0,0,0,0
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,89.20,82.23,56.75,39.33,36.20
"Accounts Receivable - Trade, Net",43.08,41.13,57.72,55.64,46.99
"Total Receivables, Net",43.92,41.86,58.21,55.73,46.99
Prepaid Expenses,0.52,0.44,0.40,0.35,0
"Other Current Assets, Total",0.84,0.95,0.72,0.46,0.46
Total Current Assets,137.41,126.02,116.83,96.46,84.04
"Property/Plant/Equipment, Total - Gross",37.05,42.68,64.91,94.99,0
"Accumulated Depreciation, Total",-19.46,-20.15,-22.25,-22.17,0
"Property/Plant/Equipment, Total - Net",17.59,22.53,42.66,72.82,71.39
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0,0.28,0.28,0.00,0
Long Term Investments,3.10,2.75,2.99,3.00,2.26
Total Assets,159.07,153.78,166.68,173.17,158.56
Accounts Payable,22.79,15.91,18.42,18.85,13.49
Accrued Expenses,0,0,0,0,0
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",9.32,1.94,3.66,1.71,3.24
Total Current Liabilities,32.11,18.03,26.09,21.96,17.10
Total Long Term Debt,0.00,2.71,0.08,6.63,12.66
Total Debt,0.00,2.88,4.09,8.04,13.03
Deferred Income Tax,1.17,1.16,1.46,1.37,1.54
"Other Liabilities, Total",0,0,0,0,0
Total Liabilities,33.28,22.52,27.89,33.19,32.70
"Common Stock, Total",23.00,23.05,23.05,23.05,22.89
Retained Earnings (Accumulated Deficit),104.61,109.62,116.09,117.40,102.97
Treasury Stock - Common,-0.11,-0.16,-0.16,-0.16,0
Unrealised Gain (Loss),-0.08,0.57,0.75,0.72,0
"Other Equity, Total",-1.64,-1.82,-0.94,-1.03,0
Total Equity,125.79,131.26,138.79,139.98,125.86
Total Liabilities & Shareholders' Equity,159.07,153.78,166.68,173.17,158.56
Total Common Shares Outstanding,349.50,349.50,349.50,349.50,349.50
"Tangible Book Value per Share, Common Eq",0.36,0.37,0.40,0.40,0.36
