Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Jul 2016,31 Jul 2017,31 Jul 2018,31 Jul 2019,31 Jul 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,30.85,13.04,10.64,4.20,-14.55
Depreciation/Depletion,1.73,1.73,2.15,3.07,4.10
Non-Cash Items,1.54,-0.24,-0.14,-0.08,14.58
Cash Taxes Paid,3.24,5.95,1.79,2.07,0.70
Changes in Working Capital,1.35,-11.93,-13.94,0.44,3.44
Cash from Operating Activities,35.46,2.61,-1.29,7.63,7.57
Capital Expenditures,-0.55,-3.93,-23.84,-30.15,-6.93
"Other Investing Cash Flow Items, Total",-1.43,1.17,0.58,0.81,0.34
Cash from Investing Activities,-1.98,-2.77,-23.26,-29.34,-6.59
Total Cash Dividends Paid,-27.96,-5.94,-2.45,-2.45,-1.40
"Issuance (Retirement) of Stock, Net",0.00,0,0.23,3.45,0.00
Cash from Financing Activities,-28.15,-6.99,-1.11,4.42,-4.04
Foreign Exchange Effects,-0.24,0.18,0.03,0.01,-0.07
Net Change in Cash,5.09,-6.97,-25.63,-17.27,-3.13
