Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Jul 2016,31 Jul 2017,31 Jul 2018,31 Jul 2019,31 Jul 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,136.56,82.89,92.54,76.56,77.68
Total Revenue,136.56,82.89,92.54,76.56,77.68
"Selling/General/Admin. Expenses, Total",9.30,8.02,9.32,8.49,8.18
Depreciation/Amortisation,0.32,0.46,0.59,0.82,0
Unusual Expense (Income),-0.07,-0.49,0.36,0.23,6.44
"Other Operating Expenses, Total",-1.10,0.14,-1.49,-1.30,7.20
Total Operating Expense,105.71,69.85,81.90,72.36,92.24
Operating Income,30.85,13.04,10.64,4.20,-14.55
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,0,0,0
"Other, Net",0,0,0,0,0
Net Income Before Taxes,30.85,13.04,10.64,4.20,-14.55
Provision for Income Taxes,5.07,2.33,2.31,0.86,1.32
Net Income After Taxes,25.78,10.71,8.33,3.34,-15.87
Net Income Before Extra. Items,25.78,10.95,8.92,3.79,-11.26
Net Income,25.78,10.95,8.92,3.79,-11.26
Income Available to Com Excl ExtraOrd,25.78,10.95,8.92,3.79,-11.26
Income Available to Com Incl ExtraOrd,25.78,10.95,8.92,3.79,-11.26
Diluted Net Income,25.78,10.95,8.92,3.79,-11.26
Diluted Weighted Average Shares,349.50,349.50,349.50,349.50,349.50
Diluted EPS Excluding ExtraOrd Items,0.07,0.03,0.03,0.01,-0.03
DPS - Common Stock Primary Issue,0.02,0.01,0.01,0.00,0.00
Diluted Normalised EPS,0.07,0.03,0.03,0.01,-0.02
