Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Source,ARS,ARS,ARS,ARS,ARS
Cash,24.24,16.04,30.60,33.40,142.67
Short Term Investments,341.13,96.70,13.00,246.83,574.54
Cash and Short Term Investments,365.38,112.74,43.60,280.22,717.21
"Accounts Receivable - Trade, Net",22.19,16.03,137.20,54.31,31.62
"Total Receivables, Net",24.29,16.36,137.57,54.81,32.26
Prepaid Expenses,0.08,0.08,1.77,1.39,0.82
"Other Current Assets, Total",0.12,81.04,29.87,29.41,19.21
Total Current Assets,1386.89,1069.54,1517.16,1612.22,1733.12
"Property/Plant/Equipment, Total - Gross",0.83,241.76,268.40,270.94,270.54
"Accumulated Depreciation, Total",-0.73,-0.48,-10.13,-60.17,-66.49
"Property/Plant/Equipment, Total - Net",0.10,241.28,258.28,210.78,204.05
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0,0,0,0,0
Long Term Investments,3.97,3.81,3.65,3.49,3.32
Total Assets,1414.73,1331.15,1781.55,1837.77,1951.40
Accounts Payable,1.34,10.55,10.44,0.83,2.23
Accrued Expenses,89.01,42.83,31.43,39.59,28.47
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",47.18,25.07,21.63,118.81,88.72
Total Current Liabilities,137.52,78.45,78.89,159.73,119.79
Total Long Term Debt,0.00,0.00,367.24,338.34,338.26
Total Debt,0.00,0.00,382.64,338.84,338.63
Deferred Income Tax,0.36,2.85,15.98,5.25,5.01
"Other Liabilities, Total",0,0.00,14.91,10.90,3.84
Total Liabilities,137.88,81.31,477.02,514.22,466.89
"Common Stock, Total",631.80,631.80,631.80,631.80,631.80
Retained Earnings (Accumulated Deficit),645.05,618.05,672.73,691.75,852.71
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",0,0,0,0,0
Total Equity,1276.85,1249.85,1304.53,1323.55,1484.51
Total Liabilities & Shareholders' Equity,1414.73,1331.15,1781.55,1837.77,1951.40
Total Common Shares Outstanding,258.91,258.91,258.91,258.91,258.91
"Tangible Book Value per Share, Common Eq",4.93,4.83,5.04,5.11,5.73
