Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Mar 2016,31 Mar 2017,31 Mar 2018,31 Mar 2019,30 Jun 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,0,0,0,0,0
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,15.29,8.40,3.14,1.40,3.69
"Accounts Receivable - Trade, Net",2.13,2.36,1.40,1.27,1.45
"Total Receivables, Net",2.13,2.36,1.40,1.27,1.45
Prepaid Expenses,0.49,0.59,0.34,0.34,0.23
"Other Current Assets, Total",0.14,0.14,0.14,0.00,0
Total Current Assets,18.04,11.48,5.02,3.01,5.37
"Property/Plant/Equipment, Total - Gross",0,0,0,0,0
"Accumulated Depreciation, Total",0,0,0,0,0
"Property/Plant/Equipment, Total - Net",0.29,0.36,0.18,0.10,0.50
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0.01,0.18,0.04,0.02,0.13
Long Term Investments,0.00,0.00,0,0,0
Total Assets,18.34,12.03,5.24,3.12,6.00
Accounts Payable,0,0,0,0,0
Accrued Expenses,0.00,0.00,0,0,0
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",1.68,0.80,2.45,3.32,2.45
Total Current Liabilities,5.28,4.41,4.51,5.99,5.70
Total Long Term Debt,0.00,0.00,0.00,0.00,0.25
Total Debt,0.00,0.00,0.00,0.00,2.01
Deferred Income Tax,0,0,0,0,0
"Other Liabilities, Total",0,0,0,0,0
Total Liabilities,5.28,4.41,4.51,5.99,5.96
"Common Stock, Total",29.91,29.91,29.91,29.91,34.67
Retained Earnings (Accumulated Deficit),-16.84,-22.29,-29.18,-32.77,-34.62
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",0,0,0,0,0
Total Equity,13.07,7.62,0.73,-2.86,0.04
Total Liabilities & Shareholders' Equity,18.34,12.03,5.24,3.12,6.00
Total Common Shares Outstanding,72.22,72.22,72.22,72.22,177.34
"Tangible Book Value per Share, Common Eq",0.18,0.10,0.01,-0.04,-0.00
