Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Mar 2016,31 Mar 2017,31 Mar 2018,31 Mar 2019,30 Jun 2020
Period Length,12 Months,12 Months,12 Months,12 Months,15 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,13.02,10.80,8.63,7.62,10.86
Total Revenue,13.02,10.80,8.63,7.62,10.86
"Selling/General/Admin. Expenses, Total",15.09,13.34,8.67,6.59,5.93
Depreciation/Amortisation,0.56,0.22,0.31,0.14,0.46
Unusual Expense (Income),0.20,0.13,0.33,0.01,0.01
"Other Operating Expenses, Total",2.11,2.69,5.46,4.38,4.93
Total Operating Expense,18.15,16.30,14.77,11.10,11.41
Operating Income,-5.13,-5.50,-6.14,-3.48,-0.55
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,0,0,0
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-5.13,-5.50,-6.14,-3.48,-0.55
Provision for Income Taxes,-0.03,0.01,0.01,0.09,0.01
Net Income After Taxes,-5.10,-5.51,-6.14,-3.57,-0.55
Net Income Before Extra. Items,-5.10,-5.51,-6.14,-3.57,-0.55
Net Income,-5.10,-5.51,-6.14,-3.57,-0.55
Income Available to Com Excl ExtraOrd,-5.10,-5.51,-6.14,-3.57,-0.55
Income Available to Com Incl ExtraOrd,-5.10,-5.51,-6.14,-3.57,-0.55
Diluted Net Income,-5.10,-5.51,-6.14,-3.57,-0.55
Diluted Weighted Average Shares,72.22,72.22,72.22,72.22,144.45
Diluted EPS Excluding ExtraOrd Items,-0.07,-0.08,-0.09,-0.05,-0.00
DPS - Common Stock Primary Issue,0,0,0,0,0.00
Diluted Normalised EPS,-0.07,-0.08,-0.08,-0.05,-0.00
