Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,1059.77,1113.19,1141.67,926.96,941.84
Total Revenue,1059.77,1113.19,1141.67,926.96,941.84
"Selling/General/Admin. Expenses, Total",83.68,73.44,90.62,93.29,88.22
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),-561.08,0.47,15.08,0.00,-81.96
"Other Operating Expenses, Total",-11.25,-4.74,-4.00,2.70,-2.93
Total Operating Expense,286.61,657.39,742.18,523.04,695.78
Operating Income,773.16,455.80,399.49,403.92,246.06
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,84.55,-94.90,-87.36
"Other, Net",0,0,0,0,0
Net Income Before Taxes,773.16,455.80,484.04,309.02,158.70
Provision for Income Taxes,150.66,43.23,61.54,21.40,68.65
Net Income After Taxes,622.50,412.57,422.51,287.62,90.05
Net Income Before Extra. Items,606.69,357.19,413.21,255.67,114.07
Net Income,606.69,357.19,413.21,255.67,114.07
Income Available to Com Excl ExtraOrd,597.56,357.19,405.45,236.40,95.13
Income Available to Com Incl ExtraOrd,597.56,357.19,405.45,236.40,95.13
Diluted Net Income,597.56,357.19,405.45,236.40,95.13
Diluted Weighted Average Shares,1109.77,1109.77,1109.77,1109.77,1109.77
Diluted EPS Excluding ExtraOrd Items,0.54,0.32,0.37,0.21,0.09
DPS - Common Stock Primary Issue,0.05,0.07,0.07,0.07,0.06
Diluted Normalised EPS,0.13,0.32,0.38,0.21,0.04
