Fiscal Year,2017,2018,2019,2020,2021
Period Ended,30 Apr 2017,30 Apr 2018,30 Apr 2019,30 Apr 2020,30 Apr 2021
Source,ARS,ARS,ARS,ARS,PRESS
Cash,3.71,1.69,4.15,9.95,10.55
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,3.71,1.69,4.15,9.95,10.55
"Accounts Receivable - Trade, Net",4.31,3.02,6.35,5.19,4.52
"Total Receivables, Net",4.31,3.02,6.35,5.19,4.52
Prepaid Expenses,0.28,0.22,0.22,0.21,0.23
"Other Current Assets, Total",0,0,0,0,0
Total Current Assets,8.65,5.61,11.36,15.39,15.31
"Property/Plant/Equipment, Total - Gross",0,0,0,0,0
"Accumulated Depreciation, Total",0,0,0,0,0
"Property/Plant/Equipment, Total - Net",56.14,53.39,50.43,50.66,45.59
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0,0,0,0,0
Long Term Investments,0,0.11,0.21,0.00,0.00
Total Assets,64.79,59.11,61.99,66.04,60.89
Accounts Payable,0.98,0.86,1.30,1.46,1.76
Accrued Expenses,0.53,0.78,0.50,0.55,1.05
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0
"Other Current liabilities, Total",0.29,0.31,0.05,0.02,0.02
Total Current Liabilities,10.00,13.05,13.70,17.33,13.47
Total Long Term Debt,26.78,20.79,18.96,20.55,16.84
Total Debt,34.98,31.89,30.81,35.86,27.47
Deferred Income Tax,1.74,1.47,1.64,1.80,1.31
"Other Liabilities, Total",0.70,0.70,0.70,0.70,0.40
Total Liabilities,39.22,36.02,35.06,40.47,32.10
"Common Stock, Total",25.56,25.56,29.33,29.33,29.33
Retained Earnings (Accumulated Deficit),0.01,-2.47,-2.41,-3.76,-0.54
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",0,0,0,0,0
Total Equity,25.57,23.09,26.93,25.57,28.80
Total Liabilities & Shareholders' Equity,64.79,59.11,61.99,66.04,60.89
Total Common Shares Outstanding,104.14,104.14,165.79,165.79,165.79
"Tangible Book Value per Share, Common Eq",0.25,0.22,0.16,0.15,0.17
