Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,PROSPECTUS,ARS,ARS,ARS,ARS
Net Income/Starting Line,25.88,26.82,24.48,27.84,9.64
Depreciation/Depletion,7.86,8.43,11.24,71.42,71.87
Non-Cash Items,6.53,8.01,6.13,15.97,15.69
Cash Taxes Paid,4.06,4.00,5.64,6.06,6.31
Changes in Working Capital,-7.67,7.59,-8.68,-5.18,-24.50
Cash from Operating Activities,32.70,50.96,33.24,110.10,72.98
Capital Expenditures,-8.77,-11.78,-15.09,-26.97,-15.64
"Other Investing Cash Flow Items, Total",-3.12,77.00,-41.14,33.06,-13.93
Cash from Investing Activities,-11.89,65.23,-56.23,6.09,-29.57
Total Cash Dividends Paid,0,0,-18.05,-12.21,-11.09
"Issuance (Retirement) of Stock, Net",0,0.00,45.46,-0.24,-0.11
Cash from Financing Activities,-7.96,-111.58,30.87,-86.76,-57.56
Foreign Exchange Effects,-0.02,-0.61,0.06,-0.02,0.10
Net Change in Cash,12.82,4.00,7.94,29.42,-14.04
