Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,PROSPECTUS,ARS,ARS,ARS,ARS
Revenue,215.11,216.68,223.84,237.51,192.38
Total Revenue,215.11,216.68,223.84,237.51,192.38
"Selling/General/Admin. Expenses, Total",103.12,102.80,113.37,48.58,40.30
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0,0,0,0,0
"Other Operating Expenses, Total",-2.61,1.60,-2.39,-1.77,-10.10
Total Operating Expense,185.48,185.98,194.79,200.19,176.30
Operating Income,29.62,30.70,29.05,37.32,16.07
"Interest Inc.(Exp.),Net-Non-Op., Total",0.99,1.41,0.39,-3.36,-4.23
"Other, Net",0,0,0,0,-0.25
Net Income Before Taxes,30.61,32.11,29.43,33.96,11.60
Provision for Income Taxes,4.73,5.30,4.96,6.12,1.96
Net Income After Taxes,25.88,26.82,24.48,27.84,9.64
Net Income Before Extra. Items,25.88,26.87,24.51,27.69,9.88
Net Income,25.88,26.87,24.51,27.69,9.88
Income Available to Com Excl ExtraOrd,25.88,26.87,24.51,27.69,9.88
Income Available to Com Incl ExtraOrd,25.88,26.87,24.51,27.69,9.88
Diluted Net Income,25.88,26.87,24.51,27.69,9.88
Diluted Weighted Average Shares,483.00,483.00,516.22,554.97,554.66
Diluted EPS Excluding ExtraOrd Items,0.05,0.06,0.05,0.05,0.02
DPS - Common Stock Primary Issue,0,0,0.02,0.03,0.01
Diluted Normalised EPS,0.05,0.06,0.05,0.05,0.02
