Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-1.88,-2.51,1.33,-7.07,0.06
Depreciation/Depletion,0.38,0.33,0.37,0.53,0.66
Non-Cash Items,1.73,9.52,0.76,6.01,0.36
Cash Taxes Paid,0.28,0.21,0.12,0.31,0.00
Changes in Working Capital,-1.59,-11.30,-0.67,-0.69,-0.19
Cash from Operating Activities,-0.88,-3.97,1.80,-1.22,0.89
Capital Expenditures,-0.30,-0.32,-0.78,-0.27,-0.29
"Other Investing Cash Flow Items, Total",0.02,0.09,0.10,0.12,0.05
Cash from Investing Activities,-0.28,-0.23,-0.68,-0.14,-0.23
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",0,0,2.13,0.00,0
Cash from Financing Activities,-0.99,-0.18,2.03,-0.43,-0.37
Foreign Exchange Effects,-0.01,0.00,0.03,-0.02,-0.03
Net Change in Cash,-2.16,-4.38,3.17,-1.81,0.25
