Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,17.46,17.96,19.90,31.54,32.24
Depreciation/Depletion,5.20,5.30,5.67,8.08,8.02
Non-Cash Items,4.08,14.47,6.54,3.01,4.41
Cash Taxes Paid,1.36,3.74,4.59,5.49,4.40
Changes in Working Capital,-9.08,-7.88,-16.99,-3.34,-11.31
Cash from Operating Activities,17.66,29.85,15.12,39.28,33.35
Capital Expenditures,-3.80,-5.98,-10.22,-38.10,-12.01
"Other Investing Cash Flow Items, Total",-12.46,-3.69,1.82,1.09,0.93
Cash from Investing Activities,-16.27,-9.66,-8.40,-37.01,-11.08
Total Cash Dividends Paid,0,-2.31,-2.40,-2.64,-7.60
"Issuance (Retirement) of Stock, Net",0.10,0.19,0.08,0.48,-0.30
Cash from Financing Activities,-0.74,-6.56,-6.40,9.85,-7.92
Foreign Exchange Effects,0.40,0.64,-0.94,0.39,-0.05
Net Change in Cash,1.05,14.26,-0.62,12.52,14.30
