Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Aug 2016,31 Aug 2017,31 Aug 2018,31 Aug 2019,31 Aug 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,209.59,212.76,211.80,228.64,241.46
Total Revenue,209.59,212.76,211.80,228.64,241.46
"Selling/General/Admin. Expenses, Total",1.13,1.10,0.49,0.52,8.69
Depreciation/Amortisation,2.37,1.19,0.62,0.00,0
Unusual Expense (Income),0,4.35,0.88,0.00,0.00
"Other Operating Expenses, Total",-0.36,0.37,0.95,1.02,1.16
Total Operating Expense,82.02,55.60,73.95,98.90,122.42
Operating Income,127.57,157.16,137.86,129.74,119.04
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,0,19.44,-179.02
"Other, Net",0,0,0,0,0
Net Income Before Taxes,127.57,157.16,137.86,149.18,-59.98
Provision for Income Taxes,0.00,0.00,0.00,0.36,4.05
Net Income After Taxes,127.57,157.16,137.86,148.82,-64.02
Net Income Before Extra. Items,127.57,157.16,137.86,149.93,-62.57
Net Income,127.57,157.16,137.86,149.93,-62.57
Income Available to Com Excl ExtraOrd,127.57,157.16,137.86,149.90,-74.91
Income Available to Com Incl ExtraOrd,127.57,157.16,137.86,149.90,-74.91
Diluted Net Income,127.57,157.16,137.86,149.90,-74.91
Diluted Weighted Average Shares,2540.17,2557.16,2571.86,2588.76,2722.75
Diluted EPS Excluding ExtraOrd Items,0.05,0.06,0.05,0.06,-0.03
DPS - Common Stock Primary Issue,0.05,0.05,0.05,0.05,0.02
Diluted Normalised EPS,0.05,0.06,0.05,0.06,-0.03
