Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Aug 2016,31 Aug 2017,31 Aug 2018,31 Aug 2019,31 Aug 2020
Source,ARS,ARS,Interim Report,ARS,ARS
Cash,12.38,13.01,17.97,44.66,81.97
Short Term Investments,55.00,50.00,18.00,298.00,0.00
Cash and Short Term Investments,67.38,63.01,35.97,342.66,81.97
"Accounts Receivable - Trade, Net",3.80,2.26,1.96,4.04,20.31
"Total Receivables, Net",5.68,3.18,2.73,4.21,32.00
Prepaid Expenses,0.15,0.11,0.18,0.51,0.52
"Other Current Assets, Total",0.06,1.57,0.18,0.77,0.13
Total Current Assets,73.27,67.86,39.05,348.15,114.63
"Property/Plant/Equipment, Total - Gross",1.45,1.52,1.57,1.71,1.89
"Accumulated Depreciation, Total",-0.50,-0.68,-0.89,-1.08,-1.30
"Property/Plant/Equipment, Total - Net",0.95,0.84,0.68,0.63,0.59
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",7.04,0.00,0,0,0
Long Term Investments,3230.00,3278.00,3368.30,3597.76,4125.45
Total Assets,3311.26,3346.70,3408.03,3948.40,4240.66
Accounts Payable,0.18,0.38,0,0,0
Accrued Expenses,7.48,8.84,0,0,0
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",26.52,31.48,0,1.56,0.68
Total Current Liabilities,34.18,360.13,250.39,329.44,295.51
Total Long Term Debt,845.89,528.00,683.26,811.51,1083.71
Total Debt,845.89,847.43,893.07,1091.14,1298.59
Deferred Income Tax,0,0,0,0,3.12
"Other Liabilities, Total",42.65,37.51,35.44,36.01,43.62
Total Liabilities,922.72,925.64,969.09,1191.61,1439.42
"Common Stock, Total",0,0,0,0,0
Retained Earnings (Accumulated Deficit),0,0,0,0,0
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",2388.53,2421.06,2438.95,2756.79,2801.25
Total Equity,2388.53,2421.06,2438.95,2756.79,2801.25
Total Liabilities & Shareholders' Equity,3311.26,3346.70,3408.03,3948.40,4240.66
Total Common Shares Outstanding,2546.70,2556.11,2571.85,2588.70,2763.12
"Tangible Book Value per Share, Common Eq",0.94,0.95,0.95,1.06,1.01
