Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,6.33,5.73,5.77,6.14,3.64
Depreciation/Depletion,0.54,0.57,0.71,1.08,1.21
Non-Cash Items,-0.18,0.39,0.38,0.48,1.40
Cash Taxes Paid,0.67,0.93,0.71,0.95,0.79
Changes in Working Capital,-0.65,0.46,-0.46,-0.25,-3.45
Cash from Operating Activities,6.05,7.16,6.42,7.47,2.82
Capital Expenditures,-2.06,-0.71,-0.96,-2.01,-0.09
"Other Investing Cash Flow Items, Total",-0.47,0,0.00,0,-2.04
Cash from Investing Activities,-2.53,-0.71,-0.96,-2.01,-2.13
Total Cash Dividends Paid,-1.25,-2.08,-1.87,-2.91,-1.87
"Issuance (Retirement) of Stock, Net",0,0,0,0,-0.03
Cash from Financing Activities,-3.37,-2.56,-2.30,-5.26,-2.56
Foreign Exchange Effects,0,0,0,0,0
Net Change in Cash,0.16,3.89,3.17,0.21,-1.86
