Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,10.48,0,0,0,0
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,10.48,33.85,37.85,17.17,22.80
"Accounts Receivable - Trade, Net",132.86,133.02,93.42,65.39,34.70
"Total Receivables, Net",134.56,140.17,101.80,69.87,39.41
Prepaid Expenses,1.49,0,0,0,0
"Other Current Assets, Total",18.43,0,0,0,0
Total Current Assets,171.71,177.11,143.81,88.78,66.09
"Property/Plant/Equipment, Total - Gross",265.40,0,0,0,0
"Accumulated Depreciation, Total",-169.04,0,0,0,0
"Property/Plant/Equipment, Total - Net",96.36,87.42,75.58,85.08,63.61
"Goodwill, Net",10.99,10.99,10.99,10.99,10.99
"Intangibles, Net",39.97,36.58,32.70,34.12,13.81
Long Term Investments,0,0,0,0,0
Total Assets,322.66,312.21,263.09,218.98,155.38
Accounts Payable,58.78,47.84,37.05,15.58,6.11
Accrued Expenses,43.04,19.99,10.22,5.12,2.67
Notes Payable/Short Term Debt,0.00,16.84,1.01,0.38,2.22
"Other Current liabilities, Total",45.13,67.35,50.53,23.77,20.61
Total Current Liabilities,286.90,179.99,184.57,51.77,38.45
Total Long Term Debt,39.19,105.89,34.17,67.61,80.53
Total Debt,179.15,150.69,120.94,74.92,89.60
Deferred Income Tax,1.98,1.87,1.36,0.74,0.63
"Other Liabilities, Total",9.46,1.16,1.27,0.95,0.75
Total Liabilities,336.43,288.92,221.36,121.06,120.36
"Common Stock, Total",128.04,156.29,162.65,216.35,216.35
Retained Earnings (Accumulated Deficit),-157.22,-152.90,-139.15,-137.34,-196.44
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",15.41,19.92,18.23,18.91,15.11
Total Equity,-13.77,23.30,41.73,97.92,35.02
Total Liabilities & Shareholders' Equity,322.66,312.21,263.09,218.98,155.38
Total Common Shares Outstanding,747.35,1376.80,1518.87,3048.23,3048.23
"Tangible Book Value per Share, Common Eq",-0.09,-0.02,-0.00,0.02,0.00
