Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-13.25,-13.74,5.18,-23.34,-15.35
Depreciation/Depletion,2.35,2.13,1.85,2.91,0.38
Non-Cash Items,-11.68,-1.90,-0.81,1.60,0.70
Cash Taxes Paid,0.04,0.00,6.24,0.34,0.00
Changes in Working Capital,7.07,26.70,1.22,4.99,24.65
Cash from Operating Activities,-15.51,13.20,7.44,-13.84,10.38
Capital Expenditures,-0.10,-2.41,-12.59,-0.64,-0.02
"Other Investing Cash Flow Items, Total",-0.68,-29.33,15.33,18.33,-7.03
Cash from Investing Activities,-0.78,-31.74,2.73,17.69,-7.05
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",0,0,0,0,5.34
Cash from Financing Activities,0.00,0,0,-0.44,-29.82
Foreign Exchange Effects,1.25,-0.20,-0.03,-0.07,-0.75
Net Change in Cash,-15.04,-18.73,10.15,3.34,-27.24
