Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,0,0,0,0,0
Short Term Investments,68.51,0.00,16.20,2.74,29.37
Cash and Short Term Investments,102.92,15.68,42.02,31.90,31.28
"Accounts Receivable - Trade, Net",0,0,0,0,0
"Total Receivables, Net",3.96,4.15,2.71,0.00,0
Prepaid Expenses,8.05,4.11,13.03,12.31,2.94
"Other Current Assets, Total",6.23,36.36,1.86,1.13,0.75
Total Current Assets,188.13,119.64,77.03,57.05,43.96
"Property/Plant/Equipment, Total - Gross",0,0,0,0,0
"Accumulated Depreciation, Total",0,0,0,0,0
"Property/Plant/Equipment, Total - Net",4.45,3.65,4.36,1.14,0.78
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0,0,0,0,0
Long Term Investments,0,70.43,78.11,70.33,60.91
Total Assets,194.42,195.56,160.69,129.87,106.74
Accounts Payable,6.52,11.56,2.87,2.54,2.50
Accrued Expenses,9.08,10.47,18.11,21.58,17.03
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",73.46,84.19,41.71,3.10,3.23
Total Current Liabilities,89.06,106.22,62.69,28.04,25.17
Total Long Term Debt,0.00,0.00,0.00,0.46,0.00
Total Debt,0.00,0.00,0.00,1.29,2.41
Deferred Income Tax,0,0,0.00,0,0
"Other Liabilities, Total",0.00,0,0,0,0
Total Liabilities,89.06,106.22,62.69,28.50,25.17
"Common Stock, Total",5.90,5.90,5.90,5.90,7.08
Retained Earnings (Accumulated Deficit),-125.12,-141.13,-140.14,-129.01,-144.71
Treasury Stock - Common,-0.02,-0.02,-0.02,-0.02,-0.02
Unrealised Gain (Loss),0,0,7.68,-0.10,-9.52
"Other Equity, Total",0,0,0,0,0
Total Equity,105.36,89.34,98.01,101.37,81.58
Total Liabilities & Shareholders' Equity,194.42,195.56,160.69,129.87,106.74
Total Common Shares Outstanding,146.69,146.69,146.69,146.69,175.99
"Tangible Book Value per Share, Common Eq",0.72,0.61,0.67,0.69,0.46
