Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,Interim Report,ARS,ARS,ARS
Cash,0,0,0,0,0
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,26.02,18.98,38.07,33.91,29.68
"Accounts Receivable - Trade, Net",2.15,0.98,1.61,1.63,1.70
"Total Receivables, Net",2.38,1.23,2.04,3.68,4.80
Prepaid Expenses,0.04,0.04,0.04,0.04,0.05
"Other Current Assets, Total",0.00,0,0,0,8.97
Total Current Assets,33.39,24.31,43.43,40.53,47.64
"Property/Plant/Equipment, Total - Gross",0,0,0,0,0
"Accumulated Depreciation, Total",0,0,0,0,0
"Property/Plant/Equipment, Total - Net",22.06,15.05,12.81,18.24,6.11
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0,0,0,0,0
Long Term Investments,2.24,2.09,1.90,1.42,1.30
Total Assets,57.69,41.66,58.62,60.19,55.05
Accounts Payable,0.65,0.67,0.93,1.69,1.88
Accrued Expenses,0,0,0,0,0
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",3.31,2.33,2.25,3.20,11.43
Total Current Liabilities,4.70,3.37,3.55,5.45,13.75
Total Long Term Debt,5.55,2.74,2.37,9.49,1.99
Total Debt,6.30,3.11,2.74,10.05,2.44
Deferred Income Tax,1.24,0.20,0.27,0.29,0.00
"Other Liabilities, Total",0,0,0,0,0
Total Liabilities,11.50,6.31,6.19,15.23,15.74
"Common Stock, Total",49.01,49.01,71.98,71.98,71.98
Retained Earnings (Accumulated Deficit),-2.49,-12.03,-17.93,-23.79,-29.43
Treasury Stock - Common,-1.70,-1.70,-1.70,-3.32,-3.32
Unrealised Gain (Loss),1.30,0,0,0,0
"Other Equity, Total",0.08,0.08,0.08,0.09,0.07
Total Equity,46.19,35.35,52.43,44.96,39.30
Total Liabilities & Shareholders' Equity,57.69,41.66,58.62,60.19,55.05
Total Common Shares Outstanding,27.12,27.12,56.73,53.72,53.72
"Tangible Book Value per Share, Common Eq",1.70,1.30,0.92,0.84,0.73
