Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,12.19,8.19,9.42,9.08,9.87
Total Revenue,12.19,8.19,9.42,9.08,9.87
"Selling/General/Admin. Expenses, Total",4.52,6.38,4.91,4.01,4.28
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),-1.03,-0.02,0.00,-0.15,-0.57
"Other Operating Expenses, Total",-0.81,2.99,1.30,1.12,2.32
Total Operating Expense,14.65,18.54,15.53,14.07,15.20
Operating Income,-2.47,-10.35,-6.11,-5.00,-5.33
"Interest Inc.(Exp.),Net-Non-Op., Total",-0.07,-0.16,0.01,-0.37,-0.35
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-2.54,-10.51,-6.10,-5.37,-5.68
Provision for Income Taxes,-0.13,-0.97,-0.20,0.49,-0.04
Net Income After Taxes,-2.40,-9.54,-5.90,-5.86,-5.64
Net Income Before Extra. Items,-2.40,-9.54,-5.90,-5.86,-5.64
Net Income,-4.24,-9.54,-5.90,-5.86,-5.64
Income Available to Com Excl ExtraOrd,-2.40,-9.54,-5.90,-5.86,-5.64
Income Available to Com Incl ExtraOrd,-4.24,-9.54,-5.90,-5.86,-5.64
Diluted Net Income,-4.24,-9.54,-5.90,-5.86,-5.64
Diluted Weighted Average Shares,27.12,27.12,47.32,56.50,54.72
Diluted EPS Excluding ExtraOrd Items,-0.09,-0.35,-0.12,-0.10,-0.10
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,-0.10,-0.26,-0.11,-0.09,-0.08
