Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-1.11,1.61,-1.41,-2.23,-0.66
Depreciation/Depletion,0.24,0.22,0.24,0.53,0.49
Non-Cash Items,0.08,-2.35,0.33,0.42,0.45
Cash Taxes Paid,0.12,0.15,0.40,0.02,0.07
Changes in Working Capital,4.29,-2.11,-1.38,1.20,-0.93
Cash from Operating Activities,3.66,-2.48,-1.84,0.29,-0.42
Capital Expenditures,-0.17,-0.10,-0.15,-0.04,-0.02
"Other Investing Cash Flow Items, Total",0.02,0.02,-0.51,0.01,0.00
Cash from Investing Activities,-0.15,-0.08,-0.66,-0.04,-0.02
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",0.00,0,0,0,0
Cash from Financing Activities,-0.53,0.55,-0.07,-0.44,3.53
Foreign Exchange Effects,-0.09,0.09,-0.04,-0.01,0.00
Net Change in Cash,2.89,-1.91,-2.61,-0.19,3.09
