Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,38.42,48.83,39.67,41.82,44.92
Total Revenue,38.42,48.83,39.67,41.82,44.92
"Selling/General/Admin. Expenses, Total",13.33,15.36,17.52,19.67,17.87
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),-0.01,-0.12,-0.04,0.00,0
"Other Operating Expenses, Total",-2.31,2.25,-2.11,-0.96,-0.68
Total Operating Expense,39.20,50.15,44.44,48.51,54.57
Operating Income,-0.78,-1.32,-4.76,-6.69,-9.65
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,0,0,0
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-0.78,-1.32,-4.76,-6.69,-9.65
Provision for Income Taxes,0.00,0.15,0.00,0,0.00
Net Income After Taxes,-0.78,-1.47,-4.76,-6.69,-9.65
Net Income Before Extra. Items,-0.78,-1.47,-4.76,-6.69,-9.65
Net Income,3.80,10.11,-4.17,-6.69,-9.65
Income Available to Com Excl ExtraOrd,-0.78,-1.47,-4.76,-6.69,-9.65
Income Available to Com Incl ExtraOrd,3.80,10.11,-4.17,-6.69,-9.65
Diluted Net Income,3.80,10.11,-4.17,-6.69,-9.65
Diluted Weighted Average Shares,409.80,409.80,409.80,409.80,409.80
Diluted EPS Excluding ExtraOrd Items,-0.00,-0.00,-0.01,-0.02,-0.02
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,-0.00,-0.00,-0.01,-0.02,-0.02
