Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,8.60,10.44,10.60,9.18,10.27
Depreciation/Depletion,7.10,7.67,8.03,8.43,8.31
Non-Cash Items,3.13,2.94,1.37,2.10,0.62
Cash Taxes Paid,0.05,0.01,0.02,-0.01,0.00
Changes in Working Capital,5.72,2.22,4.38,4.79,2.47
Cash from Operating Activities,24.56,23.26,24.39,24.51,21.67
Capital Expenditures,-2.37,-1.29,-1.98,-3.41,-1.37
"Other Investing Cash Flow Items, Total",0.11,-6.24,5.25,1.81,0.53
Cash from Investing Activities,-2.26,-7.53,3.28,-1.59,-0.85
Total Cash Dividends Paid,-3.20,-3.22,-3.18,-3.05,-2.93
"Issuance (Retirement) of Stock, Net",0,0.00,-2.43,-5.26,-0.21
Cash from Financing Activities,-23.96,-13.29,-15.45,-18.17,-12.80
Foreign Exchange Effects,-0.05,0.05,-0.09,-0.28,0.18
Net Change in Cash,-1.71,2.49,12.12,4.47,8.20
