Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 May 2017,31 May 2018,31 May 2019,31 May 2020,31 May 2021
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,PRESS
Revenue,253.62,268.50,249.34,329.95,116.42
Total Revenue,253.62,268.50,249.34,329.95,116.42
"Selling/General/Admin. Expenses, Total",26.56,35.09,15.85,16.01,12.59
Depreciation/Amortisation,0,0.43,0.75,0.74,0.31
Unusual Expense (Income),-6.10,7.77,-0.32,3.00,1.46
"Other Operating Expenses, Total",-0.11,-2.32,-0.18,-2.61,29.88
Total Operating Expense,239.04,271.52,248.29,349.44,232.44
Operating Income,14.57,-3.02,1.05,-19.50,-116.02
"Interest Inc.(Exp.),Net-Non-Op., Total",-12.28,-9.80,-4.60,-6.29,-2.35
"Other, Net",0,0,0,0,0
Net Income Before Taxes,2.30,-12.82,-3.55,-25.78,-118.37
Provision for Income Taxes,3.26,0.13,1.53,3.42,0.69
Net Income After Taxes,-0.97,-12.95,-5.08,-29.20,-119.06
Net Income Before Extra. Items,-1.57,-10.01,-3.73,-27.69,-120.72
Net Income,-1.57,-10.01,-18.17,-59.55,-120.81
Income Available to Com Excl ExtraOrd,-1.57,-10.01,-3.73,-27.69,-120.72
Income Available to Com Incl ExtraOrd,-1.57,-10.01,-18.17,-59.55,-120.81
Diluted Net Income,-1.57,-10.01,-18.17,-59.55,-120.81
Diluted Weighted Average Shares,563.49,515.57,554.08,646.88,646.88
Diluted EPS Excluding ExtraOrd Items,-0.00,-0.02,-0.01,-0.04,-0.19
DPS - Common Stock Primary Issue,0.00,0.00,0,0,0
Diluted Normalised EPS,-0.01,-0.01,-0.01,-0.04,-0.19
