Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,10.54,17.69,21.85,16.04,23.82
Short Term Investments,0,1.49,2.47,1.25,0.74
Cash and Short Term Investments,10.54,19.18,24.31,17.29,24.55
"Accounts Receivable - Trade, Net",245.26,272.09,301.85,313.32,292.06
"Total Receivables, Net",245.26,275.16,307.49,316.06,292.83
Prepaid Expenses,0.89,2.33,1.73,2.74,1.52
"Other Current Assets, Total",1.11,0.79,2.32,2.92,0.75
Total Current Assets,301.02,349.26,397.33,413.49,394.31
"Property/Plant/Equipment, Total - Gross",0,21.73,30.17,95.54,110.35
"Accumulated Depreciation, Total",0,-5.54,-7.02,-9.02,-10.83
"Property/Plant/Equipment, Total - Net",4.16,16.19,23.15,86.52,99.52
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0,0,0,0,0
Long Term Investments,0,45.27,34.02,19.07,14.64
Total Assets,307.26,446.54,460.68,521.82,516.54
Accounts Payable,0.69,0.29,0.46,0.54,0.87
Accrued Expenses,3.85,5.15,6.50,6.92,6.67
Notes Payable/Short Term Debt,173.55,230.08,222.18,216.60,196.38
"Other Current liabilities, Total",32.40,3.21,7.93,15.33,10.34
Total Current Liabilities,210.49,239.03,237.55,274.66,227.73
Total Long Term Debt,0.00,77.62,81.64,107.79,135.87
Total Debt,173.55,308.00,304.31,359.67,345.71
Deferred Income Tax,0.09,0.31,0.26,0.37,0.27
"Other Liabilities, Total",0.06,0.24,0.07,0.11,0.07
Total Liabilities,211.45,318.12,320.55,383.79,364.97
"Common Stock, Total",87.44,118.37,137.29,137.29,137.29
Retained Earnings (Accumulated Deficit),8.37,10.22,2.86,0.76,14.30
Treasury Stock - Common,0,-0.17,-0.02,-0.01,-0.01
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",0,0,0,0,0
Total Equity,95.81,128.43,140.13,138.03,151.57
Total Liabilities & Shareholders' Equity,307.26,446.54,460.68,521.82,516.54
Total Common Shares Outstanding,739.88,910.58,1035.16,1035.19,1035.19
"Tangible Book Value per Share, Common Eq",0.13,0.14,0.14,0.13,0.15
