Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,163.19,192.87,203.65,218.48,262.82
Total Revenue,163.19,192.87,203.65,218.48,262.82
"Selling/General/Admin. Expenses, Total",14.06,16.96,19.64,19.98,22.19
Depreciation/Amortisation,1.33,1.56,2.11,11.56,13.60
Unusual Expense (Income),0,0,0,0,-5.95
"Other Operating Expenses, Total",16.27,24.94,33.17,18.29,16.91
Total Operating Expense,150.94,181.89,196.20,202.38,237.19
Operating Income,12.25,10.98,7.45,16.10,25.64
"Interest Inc.(Exp.),Net-Non-Op., Total",0.13,3.07,3.76,1.20,1.31
"Other, Net",0.77,0.91,0.86,0.64,2.30
Net Income Before Taxes,13.15,14.96,12.07,17.94,29.25
Provision for Income Taxes,1.70,1.60,1.58,3.00,-0.14
Net Income After Taxes,11.45,13.36,10.49,14.94,29.39
Net Income Before Extra. Items,11.35,13.26,10.38,14.83,29.26
Net Income,11.35,13.26,10.38,14.83,29.26
Income Available to Com Excl ExtraOrd,11.35,13.26,10.38,14.83,29.26
Income Available to Com Incl ExtraOrd,11.35,13.26,10.38,14.83,29.26
Diluted Net Income,11.35,13.26,10.38,14.83,29.26
Diluted Weighted Average Shares,612.63,810.76,1012.59,1035.15,1035.19
Diluted EPS Excluding ExtraOrd Items,0.02,0.02,0.01,0.01,0.03
DPS - Common Stock Primary Issue,0.01,0.01,0.01,0.01,0.03
Diluted Normalised EPS,0.02,0.02,0.01,0.01,0.02
