Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,120.12,116.92,118.08,118.86,122.63
Total Revenue,120.12,116.92,118.08,118.86,122.63
"Selling/General/Admin. Expenses, Total",0.00,0,0,0,0
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0,0,0,0,0
"Other Operating Expenses, Total",1.76,1.88,2.15,2.69,3.58
Total Operating Expense,105.11,54.30,65.31,25.78,62.57
Operating Income,15.01,62.61,52.77,93.09,60.07
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,0,0,0
"Other, Net",0,0,0,0,0
Net Income Before Taxes,15.01,62.61,52.77,93.09,60.07
Provision for Income Taxes,1.53,1.42,2.72,7.57,8.05
Net Income After Taxes,13.48,61.19,50.05,85.52,52.02
Net Income Before Extra. Items,13.48,61.19,50.05,85.52,52.02
Net Income,13.48,61.19,50.05,85.52,52.02
Income Available to Com Excl ExtraOrd,13.48,61.19,50.05,85.52,47.57
Income Available to Com Incl ExtraOrd,13.48,61.19,50.05,85.52,47.57
Diluted Net Income,13.48,61.19,50.05,85.52,47.57
Diluted Weighted Average Shares,637.11,653.85,685.79,696.79,706.66
Diluted EPS Excluding ExtraOrd Items,0.02,0.09,0.07,0.12,0.07
DPS - Common Stock Primary Issue,0.09,0.09,0.09,0.08,0.08
Diluted Normalised EPS,0.02,0.09,0.07,0.12,0.07
