Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,13.48,61.19,50.05,85.52,52.02
Depreciation/Depletion,0,0,0,0,0
Non-Cash Items,62.88,9.84,23.13,-3.64,24.15
Cash Taxes Paid,0.92,0.86,1.11,1.47,0.74
Changes in Working Capital,1.71,2.31,-0.79,0.53,1.68
Cash from Operating Activities,78.07,73.34,72.39,82.40,77.86
Capital Expenditures,0,0,0,0,0
"Other Investing Cash Flow Items, Total",-33.00,-9.50,0.22,-60.55,-142.97
Cash from Investing Activities,-33.00,-9.50,0.22,-60.55,-142.97
Total Cash Dividends Paid,-71.54,-67.97,-63.76,-53.21,-57.08
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,-40.88,-57.82,-71.89,-19.16,55.37
Foreign Exchange Effects,0.05,-0.20,-0.18,-0.34,0.45
Net Change in Cash,4.24,5.82,0.54,2.36,-9.29
