Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 May 2017,31 May 2018,31 May 2019,31 Mar 2020,31 Mar 2021
Period Length,12 Months,12 Months,12 Months,10 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,94.69,109.16,100.52,53.34,20.17
Total Revenue,94.69,109.16,100.52,53.34,20.17
"Selling/General/Admin. Expenses, Total",16.23,20.91,19.76,12.30,9.10
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),-2.08,7.58,3.57,0.01,-0.21
"Other Operating Expenses, Total",-2.05,-1.18,2.24,14.65,-6.80
Total Operating Expense,91.39,114.04,117.85,71.28,19.43
Operating Income,3.31,-4.88,-17.33,-17.94,0.74
"Interest Inc.(Exp.),Net-Non-Op., Total",0,-4.55,-8.83,-7.83,-4.95
"Other, Net",0,0,0,0,0
Net Income Before Taxes,3.31,-9.42,-26.15,-25.77,-4.21
Provision for Income Taxes,3.02,-0.42,-0.33,3.03,1.31
Net Income After Taxes,0.29,-9.00,-25.82,-28.80,-5.52
Net Income Before Extra. Items,-1.05,-8.69,-23.84,-27.73,-2.64
Net Income,-1.05,-8.69,-23.84,-27.73,-2.64
Income Available to Com Excl ExtraOrd,-1.05,-8.69,-23.84,-27.73,-2.64
Income Available to Com Incl ExtraOrd,-1.05,-8.69,-23.84,-27.73,-2.64
Diluted Net Income,-1.05,-8.69,-23.84,-27.73,-2.64
Diluted Weighted Average Shares,446.88,446.88,446.88,446.88,446.88
Diluted EPS Excluding ExtraOrd Items,-0.00,-0.02,-0.05,-0.06,-0.01
DPS - Common Stock Primary Issue,0,0.00,0,0.00,0
Diluted Normalised EPS,-0.01,-0.01,-0.05,-0.06,-0.01
