Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-14.13,-1.58,1.79,5.35,-16.03
Depreciation/Depletion,3.73,4.11,4.52,4.67,4.30
Non-Cash Items,14.22,6.00,-0.10,-5.34,12.09
Cash Taxes Paid,2.04,4.68,2.38,-0.01,0.76
Changes in Working Capital,62.26,68.69,12.30,-3.39,3.43
Cash from Operating Activities,66.08,77.22,18.58,1.44,4.02
Capital Expenditures,-0.73,-25.67,-2.68,-0.73,-0.41
"Other Investing Cash Flow Items, Total",-4.70,-0.04,-12.41,-148.46,2.04
Cash from Investing Activities,-5.43,-25.71,-15.09,-149.19,1.63
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",-0.09,-0.01,0.00,0,0
Cash from Financing Activities,-81.68,-59.10,-1.36,116.50,-7.29
Foreign Exchange Effects,0.72,-0.72,0.33,-0.22,0.20
Net Change in Cash,-20.31,-8.32,2.46,-31.47,-1.44
