Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,13 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,66.23,64.52,69.67,79.06,60.56
Total Revenue,66.23,64.52,69.67,79.06,60.56
"Selling/General/Admin. Expenses, Total",0.31,0.29,0.30,0.32,0.35
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0,0,0,0,0
"Other Operating Expenses, Total",0.33,0.16,0.38,0.98,0.24
Total Operating Expense,-50.22,24.36,10.13,-4.33,54.87
Operating Income,116.45,40.16,59.54,83.39,5.70
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,0,0,0
"Other, Net",0,0,0,0,0
Net Income Before Taxes,116.45,40.16,59.54,83.39,5.70
Provision for Income Taxes,28.33,8.68,13.89,20.79,1.97
Net Income After Taxes,88.12,31.47,45.65,62.60,3.72
Net Income Before Extra. Items,58.60,20.94,31.16,48.01,-1.07
Net Income,58.60,20.94,31.16,48.01,-1.07
Income Available to Com Excl ExtraOrd,58.60,20.94,31.16,48.01,-1.07
Income Available to Com Incl ExtraOrd,58.60,20.94,31.16,48.01,-1.07
Diluted Net Income,58.60,20.94,31.16,48.01,-1.07
Diluted Weighted Average Shares,496.88,500.93,504.68,509.49,510.49
Diluted EPS Excluding ExtraOrd Items,0.12,0.04,0.06,0.09,-0.00
DPS - Common Stock Primary Issue,0.03,0.05,0.05,0.04,0.02
Diluted Normalised EPS,0.12,0.04,0.06,0.09,-0.00
