Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,Interim Report,ARS,ARS,ARS
Cash,0,0,0,0,0
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,38.37,43.35,41.19,44.10,44.23
"Accounts Receivable - Trade, Net",8.28,4.16,5.29,1.03,2.59
"Total Receivables, Net",8.28,4.16,5.29,1.03,2.59
Prepaid Expenses,0,0,0,0,0.36
"Other Current Assets, Total",13.30,28.73,14.40,2.93,4.05
Total Current Assets,59.95,76.24,60.88,48.07,51.22
"Property/Plant/Equipment, Total - Gross",7.38,7.38,7.19,7.13,7.60
"Accumulated Depreciation, Total",-6.65,-6.69,-6.56,-6.46,-6.90
"Property/Plant/Equipment, Total - Net",0.73,0.69,0.63,0.68,0.70
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0,0,0,0,0
Long Term Investments,810.69,811.12,808.30,909.02,943.19
Total Assets,871.63,888.19,869.87,957.78,995.16
Accounts Payable,0,0,0,0,0
Accrued Expenses,0,0,0,0,0
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",9.48,13.56,14.71,14.48,14.19
Total Current Liabilities,118.67,58.94,254.55,42.58,49.56
Total Long Term Debt,140.44,215.50,0.00,275.43,282.32
Total Debt,230.46,241.47,222.14,278.58,291.64
Deferred Income Tax,22.56,24.40,29.95,41.20,39.16
"Other Liabilities, Total",8.56,6.30,6.36,10.45,11.68
Total Liabilities,450.45,471.74,459.45,535.27,555.90
"Common Stock, Total",0,0,0,0,0
Retained Earnings (Accumulated Deficit),0,0,0,0,0
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",421.18,416.45,410.42,422.52,439.26
Total Equity,421.18,416.45,410.42,422.52,439.26
Total Liabilities & Shareholders' Equity,871.63,888.19,869.87,957.78,995.16
Total Common Shares Outstanding,496.88,499.74,503.84,508.46,511.00
"Tangible Book Value per Share, Common Eq",0.85,0.83,0.81,0.83,0.86
