Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,87.21,140.97,38.79,54.38,42.37
Short Term Investments,0.39,0.36,0.36,0.35,0.33
Cash and Short Term Investments,87.60,141.33,39.15,54.73,42.70
"Accounts Receivable - Trade, Net",94.83,103.10,99.53,142.87,85.60
"Total Receivables, Net",327.40,204.46,182.23,202.38,123.71
Prepaid Expenses,5.58,4.64,5.44,2.00,1.71
"Other Current Assets, Total",10.55,16.17,5.88,8.55,5.00
Total Current Assets,768.65,646.35,468.04,494.32,385.20
"Property/Plant/Equipment, Total - Gross",228.62,249.20,248.03,256.29,258.10
"Accumulated Depreciation, Total",-105.46,-119.85,-127.02,-148.42,-152.84
"Property/Plant/Equipment, Total - Net",123.16,129.35,121.02,107.87,105.26
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",1.76,1.13,1.11,0.34,0.24
Long Term Investments,38.50,48.31,59.40,42.40,44.08
Total Assets,964.65,841.99,665.23,651.97,547.16
Accounts Payable,59.30,23.83,36.53,49.03,36.95
Accrued Expenses,237.55,162.25,103.52,108.49,66.03
Notes Payable/Short Term Debt,13.75,11.93,7.56,7.03,5.18
"Other Current liabilities, Total",129.66,164.50,89.90,90.24,123.07
Total Current Liabilities,525.71,477.39,333.83,336.71,270.74
Total Long Term Debt,90.93,17.18,13.59,15.43,28.90
Total Debt,190.13,144.00,117.47,104.39,73.59
Deferred Income Tax,5.81,3.78,3.51,3.41,0.93
"Other Liabilities, Total",24.35,23.30,7.59,11.93,5.58
Total Liabilities,704.44,568.64,396.81,386.44,310.99
"Common Stock, Total",181.95,181.95,181.95,181.95,181.95
Retained Earnings (Accumulated Deficit),73.25,91.43,93.50,94.38,58.11
Treasury Stock - Common,-1.31,-3.03,-4.45,-4.45,-4.87
Unrealised Gain (Loss),0,0,0,0.21,0.21
"Other Equity, Total",6.32,3.01,-2.57,-6.55,0.78
Total Equity,260.21,273.35,268.42,265.53,236.17
Total Liabilities & Shareholders' Equity,964.65,841.99,665.23,651.97,547.16
Total Common Shares Outstanding,454.01,448.38,444.79,444.79,441.42
"Tangible Book Value per Share, Common Eq",0.57,0.61,0.60,0.60,0.53
