Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,774.26,802.77,379.10,405.55,235.94
Total Revenue,774.26,802.77,379.10,405.55,235.94
"Selling/General/Admin. Expenses, Total",25.16,23.34,23.27,22.63,19.15
Depreciation/Amortisation,4.25,4.52,7.22,7.79,7.52
Unusual Expense (Income),0.01,-0.15,-0.71,-10.44,-2.09
"Other Operating Expenses, Total",4.47,6.75,6.95,6.90,-1.12
Total Operating Expense,742.26,750.58,364.20,385.99,267.36
Operating Income,31.99,52.19,14.90,19.56,-31.42
"Interest Inc.(Exp.),Net-Non-Op., Total",-7.72,-4.98,-2.64,-0.70,-5.02
"Other, Net",0.16,-3.06,-3.53,-0.95,-0.16
Net Income Before Taxes,24.43,44.15,8.73,17.91,-36.59
Provision for Income Taxes,8.59,9.94,0.31,7.87,-1.69
Net Income After Taxes,15.84,34.21,8.42,10.04,-34.91
Net Income Before Extra. Items,15.29,34.02,8.81,10.59,-31.99
Net Income,15.29,34.02,8.81,10.59,-31.99
Income Available to Com Excl ExtraOrd,15.29,34.02,8.81,10.59,-31.99
Income Available to Com Incl ExtraOrd,15.29,34.02,8.81,10.59,-31.99
Diluted Net Income,15.29,34.02,8.81,10.59,-31.99
Diluted Weighted Average Shares,455.99,451.72,445.52,444.79,442.76
Diluted EPS Excluding ExtraOrd Items,0.03,0.08,0.02,0.02,-0.07
DPS - Common Stock Primary Issue,0.01,0.02,0.01,0.01,0.00
Diluted Normalised EPS,0.03,0.08,0.02,0.01,-0.08
