Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Mar 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,5.44,81.47,58.81,27.26,21.88
Short Term Investments,0,2.16,1.17,1.23,1.26
Cash and Short Term Investments,5.44,83.63,59.98,28.48,23.14
"Accounts Receivable - Trade, Net",8.52,417.75,637.06,441.03,272.02
"Total Receivables, Net",15.04,460.92,643.90,555.97,377.81
Prepaid Expenses,0.30,0,1.63,4.46,3.75
"Other Current Assets, Total",0,591.87,685.59,684.95,648.39
Total Current Assets,73.04,1136.41,1391.10,1273.86,1053.10
"Property/Plant/Equipment, Total - Gross",0,102.65,167.11,256.53,265.78
"Accumulated Depreciation, Total",0,-8.01,-9.71,-13.66,-74.91
"Property/Plant/Equipment, Total - Net",8.62,94.64,157.40,242.87,312.39
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0,0,0,0,0
Long Term Investments,0,0,0,0,0
Total Assets,81.66,1292.36,1575.97,1517.34,1483.83
Accounts Payable,24.49,341.06,169.98,171.38,202.23
Accrued Expenses,0,76.58,0,82.55,88.67
Notes Payable/Short Term Debt,24.42,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",23.99,105.20,471.53,428.99,482.98
Total Current Liabilities,75.55,579.50,933.85,1011.75,1087.87
Total Long Term Debt,2.31,298.79,239.31,87.69,203.63
Total Debt,29.38,355.45,531.66,416.52,517.61
Deferred Income Tax,0.09,0.00,0.00,12.42,0.17
"Other Liabilities, Total",0,186.67,29.81,29.93,32.19
Total Liabilities,77.95,1064.95,1205.54,1141.63,1323.86
"Common Stock, Total",86.66,250.87,252.72,252.72,267.43
Retained Earnings (Accumulated Deficit),-81.90,-23.58,117.72,126.20,-104.07
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",-1.05,0.12,0.00,-3.22,-3.39
Total Equity,3.71,227.41,370.43,375.71,159.97
Total Liabilities & Shareholders' Equity,81.66,1292.36,1575.97,1517.34,1483.83
Total Common Shares Outstanding,92.39,1375.08,1378.10,1378.10,1434.60
"Tangible Book Value per Share, Common Eq",0.04,0.17,0.27,0.27,0.11
