Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Mar 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Period Length,12 Months,15 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,179.42,462.44,298.06,342.82,109.45
Total Revenue,179.42,462.44,298.06,342.82,109.45
"Selling/General/Admin. Expenses, Total",116.47,76.12,62.98,112.04,148.83
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0.00,77.31,-0.44,-0.05,64.21
"Other Operating Expenses, Total",-5.08,-4.94,36.54,-19.96,5.00
Total Operating Expense,208.24,427.55,254.94,230.70,301.53
Operating Income,-28.82,34.89,43.11,112.12,-192.08
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,-31.51,-36.39,-50.09
"Other, Net",0,-4.48,0.00,-1.01,-2.14
Net Income Before Taxes,-28.82,30.41,11.61,74.72,-244.30
Provision for Income Taxes,0.49,21.69,6.93,63.68,-14.58
Net Income After Taxes,-29.31,8.72,4.68,11.05,-229.73
Net Income Before Extra. Items,-29.31,8.72,5.76,9.54,-229.70
Net Income,-29.31,8.72,5.76,9.54,-229.70
Income Available to Com Excl ExtraOrd,-29.31,8.72,5.76,9.54,-229.70
Income Available to Com Incl ExtraOrd,-29.31,8.72,5.76,9.54,-229.70
Diluted Net Income,-29.31,8.72,5.76,9.54,-229.70
Diluted Weighted Average Shares,92.39,1261.00,1377.36,1378.10,1410.67
Diluted EPS Excluding ExtraOrd Items,-0.32,0.01,0.00,0.01,-0.16
DPS - Common Stock Primary Issue,0,0.00,0.00,0.00,0.00
Diluted Normalised EPS,-0.30,0.05,0.00,0.01,-0.13
