Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,56.65,51.68,71.53,56.53,78.39
Short Term Investments,116.28,85.34,72.36,85.81,98.32
Cash and Short Term Investments,172.93,137.02,143.90,142.34,176.71
"Accounts Receivable - Trade, Net",126.18,158.30,151.39,121.21,126.27
"Total Receivables, Net",133.01,163.34,153.72,123.01,128.24
Prepaid Expenses,0.96,0.64,0.90,1.69,1.39
"Other Current Assets, Total",56.44,60.32,56.77,-8.41,-10.79
Total Current Assets,404.80,412.24,409.19,308.28,350.52
"Property/Plant/Equipment, Total - Gross",159.81,204.85,241.26,266.05,280.15
"Accumulated Depreciation, Total",-84.51,-89.27,-94.39,-102.63,-117.92
"Property/Plant/Equipment, Total - Net",75.31,115.58,146.87,163.42,162.23
"Goodwill, Net",1.13,1.12,1.08,1.05,1.11
"Intangibles, Net",0.00,0.00,0.01,0.01,0.00
Long Term Investments,0.82,7.89,11.13,11.24,11.58
Total Assets,485.23,540.34,572.13,488.26,528.93
Accounts Payable,67.82,71.06,64.42,47.22,42.22
Accrued Expenses,17.43,18.86,19.21,16.62,7.25
Notes Payable/Short Term Debt,28.88,47.14,60.62,39.62,45.57
"Other Current liabilities, Total",36.53,47.53,47.08,12.03,26.40
Total Current Liabilities,157.59,198.68,199.38,121.45,130.38
Total Long Term Debt,1.34,0.22,18.49,31.94,27.29
Total Debt,37.14,61.45,87.17,77.52,81.81
Deferred Income Tax,2.77,2.86,2.69,4.18,4.64
"Other Liabilities, Total",1.18,2.02,2.15,2.81,2.53
Total Liabilities,214.67,262.27,284.67,223.28,239.14
"Common Stock, Total",204.33,204.33,204.33,184.33,184.33
Retained Earnings (Accumulated Deficit),70.42,78.76,90.52,90.34,111.20
Treasury Stock - Common,-4.23,-4.23,-4.23,-4.23,-4.23
Unrealised Gain (Loss),0.03,0.05,0.05,0.04,0.04
"Other Equity, Total",0.00,-0.84,-3.19,-5.51,-1.56
Total Equity,270.56,278.08,287.47,264.98,289.78
Total Liabilities & Shareholders' Equity,485.23,540.34,572.13,488.26,528.93
Total Common Shares Outstanding,553.42,553.42,553.42,553.42,553.42
"Tangible Book Value per Share, Common Eq",0.49,0.50,0.52,0.48,0.52
