Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,17.43,20.92,22.23,11.84,33.10
Depreciation/Depletion,8.61,8.74,9.99,14.72,15.61
Non-Cash Items,5.93,9.44,6.74,13.04,6.43
Cash Taxes Paid,5.51,6.95,6.74,4.46,4.77
Changes in Working Capital,-11.89,-33.96,-7.83,6.89,-13.55
Cash from Operating Activities,20.09,5.14,31.13,46.49,41.59
Capital Expenditures,-14.05,-50.60,-44.62,-13.61,-7.67
"Other Investing Cash Flow Items, Total",11.19,3.95,-1.24,7.77,1.66
Cash from Investing Activities,-2.87,-46.65,-45.86,-5.85,-6.01
Total Cash Dividends Paid,-1.74,-5.07,-5.03,-7.23,-2.52
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,0.57,10.31,23.60,-58.95,-7.68
Foreign Exchange Effects,0.39,-4.67,-2.49,-1.10,2.43
Net Change in Cash,18.18,-35.87,6.38,-19.41,30.33
