Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,7.87,8.44,-47.72,-10.41,-5.80
Depreciation/Depletion,0.01,0.01,0.01,0.09,0.09
Non-Cash Items,-20.64,-12.55,-5.01,-4.92,5.71
Cash Taxes Paid,0.48,0.65,0.12,0.02,0.63
Changes in Working Capital,-5.47,32.82,50.12,18.18,5.62
Cash from Operating Activities,-18.22,28.73,-2.59,2.94,5.62
Capital Expenditures,0.00,0.00,-0.03,0.00,0
"Other Investing Cash Flow Items, Total",0,1.34,0.00,3.87,1.70
Cash from Investing Activities,0.00,1.34,-0.03,3.87,1.70
Total Cash Dividends Paid,-1.99,-2.00,-2.01,0.00,0
"Issuance (Retirement) of Stock, Net",0.00,0,0,0,0
Cash from Financing Activities,-1.99,-2.00,-2.01,-0.08,-0.08
Foreign Exchange Effects,0.00,0,0,0,0
Net Change in Cash,-20.21,28.07,-4.63,6.72,7.24
