Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,15089.44,19205.60,23238.29,23597.18,14841.27
Total Revenue,15089.44,19205.60,23238.29,23597.18,14841.27
"Selling/General/Admin. Expenses, Total",475.85,314.08,457.14,456.36,739.79
Depreciation/Amortisation,0.54,0,0,0,0
Unusual Expense (Income),1145.84,-35.34,168.54,188.06,604.84
"Other Operating Expenses, Total",-858.11,-696.17,-697.91,-253.86,-257.87
Total Operating Expense,12316.67,15645.10,18453.68,19340.71,11687.24
Operating Income,2772.77,3560.50,4784.61,4256.46,3154.03
"Interest Inc.(Exp.),Net-Non-Op., Total",0,-73.13,-219.61,-69.97,135.99
"Other, Net",0,0,0,0,0
Net Income Before Taxes,2772.77,3487.36,4565.00,4186.49,3290.02
Provision for Income Taxes,926.81,395.44,941.21,890.18,671.97
Net Income After Taxes,1845.96,3091.92,3623.80,3296.31,2618.05
Net Income Before Extra. Items,1752.43,2931.50,3614.04,3105.07,2516.40
Net Income,1752.43,2931.50,3614.04,3105.07,2516.40
Income Available to Com Excl ExtraOrd,1752.43,2931.50,3614.04,3105.07,2516.40
Income Available to Com Incl ExtraOrd,1752.43,2931.50,3614.04,3105.07,2516.40
Diluted Net Income,1752.43,2931.50,3614.04,3105.07,2516.40
Diluted Weighted Average Shares,3831.84,3878.01,3956.78,3936.52,3908.02
Diluted EPS Excluding ExtraOrd Items,0.46,0.76,0.91,0.79,0.64
DPS - Common Stock Primary Issue,0.19,0.22,0.25,0.23,0.22
Diluted Normalised EPS,0.66,0.82,1.01,0.85,0.91
