Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,Interim Report,ARS,ARS,ARS
Cash,7085.80,6195.43,6594.14,10183.02,6633.42
Short Term Investments,6550.98,9349.43,12021.28,11351.44,15277.44
Cash and Short Term Investments,13636.78,15544.86,18615.42,21534.46,21910.85
"Accounts Receivable - Trade, Net",5846.45,6820.89,5548.95,4302.01,3671.00
"Total Receivables, Net",7188.15,8768.82,7386.25,5756.86,4499.48
Prepaid Expenses,2088.19,2476.69,2330.03,2343.71,1260.61
"Other Current Assets, Total",1256.20,34.27,212.92,19.09,1105.21
Total Current Assets,26201.78,29452.85,31150.33,31252.07,30454.01
"Property/Plant/Equipment, Total - Gross",9332.09,8678.60,9427.62,10418.44,10480.95
"Accumulated Depreciation, Total",-3855.14,-3857.87,-4264.87,-4740.38,-5254.94
"Property/Plant/Equipment, Total - Net",5476.95,4820.73,5162.76,5678.06,5226.00
"Goodwill, Net",0,0,0,258.98,258.98
"Intangibles, Net",7.91,9.86,17.53,25.93,22.15
Long Term Investments,6697.34,6199.95,5494.26,5858.70,5982.76
Total Assets,41234.18,43372.65,44911.48,45756.12,44910.66
Accounts Payable,2054.46,3090.51,2951.58,2036.86,1338.57
Accrued Expenses,632.45,130.41,438.45,389.62,146.71
Notes Payable/Short Term Debt,450.00,45.80,28.07,0.00,0.00
"Other Current liabilities, Total",6634.29,7776.94,6782.77,4981.99,4357.01
Total Current Liabilities,12350.64,13575.63,11349.88,10190.78,7962.84
Total Long Term Debt,4645.02,2358.77,2894.98,2250.62,2123.50
Total Debt,7674.46,4936.55,4072.05,5032.93,4244.05
Deferred Income Tax,1038.00,921.55,1086.37,1260.19,1447.81
"Other Liabilities, Total",1.42,0,0.00,0,0
Total Liabilities,18542.22,17487.94,16031.88,14660.49,12568.31
"Common Stock, Total",6354.10,7361.99,7361.99,7361.99,7361.99
Retained Earnings (Accumulated Deficit),16435.21,18612.78,21683.66,24024.12,25657.48
Treasury Stock - Common,-20.98,-20.98,-122.36,-250.12,-560.44
Unrealised Gain (Loss),-20.28,-5.41,0.00,0,0
"Other Equity, Total",-56.07,-63.67,-43.68,-40.36,-116.67
Total Equity,22691.97,25884.71,28879.60,31095.63,32342.36
Total Liabilities & Shareholders' Equity,41234.18,43372.65,44911.48,45756.12,44910.66
Total Common Shares Outstanding,3831.84,3968.84,3945.77,3918.77,3852.52
"Tangible Book Value per Share, Common Eq",5.92,6.52,7.31,7.86,8.32
