Fiscal Year,2017,2018,2019,2020,2021
Period Ended,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020,30 Jun 2021
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,PRESS
Revenue,800.81,844.68,909.81,1052.70,1055.95
Total Revenue,800.81,844.68,909.81,1052.70,1055.95
"Selling/General/Admin. Expenses, Total",206.52,221.82,243.11,248.72,271.99
Depreciation/Amortisation,57.69,60.82,62.43,89.86,94.52
Unusual Expense (Income),-0.07,0.72,0.61,7.62,2.08
"Other Operating Expenses, Total",134.85,136.41,142.64,146.91,158.70
Total Operating Expense,399.00,419.78,448.79,493.10,527.30
Operating Income,401.82,424.90,461.02,559.59,528.66
"Interest Inc.(Exp.),Net-Non-Op., Total",6.67,11.75,11.29,8.98,-9.90
"Other, Net",0.40,0.83,0.68,2.38,17.72
Net Income Before Taxes,408.88,437.47,472.99,570.95,536.48
Provision for Income Taxes,69.19,74.27,81.89,98.96,90.70
Net Income After Taxes,339.69,363.20,391.10,471.99,445.78
Net Income Before Extra. Items,339.69,363.20,391.10,471.82,445.41
Net Income,339.69,363.20,391.10,471.82,445.41
Income Available to Com Excl ExtraOrd,339.69,363.20,391.10,471.82,445.41
Income Available to Com Incl ExtraOrd,339.69,363.20,391.10,471.82,445.41
Diluted Net Income,339.69,363.20,391.10,471.82,445.41
Diluted Weighted Average Shares,1073.65,1073.58,1073.77,1075.01,1085.14
Diluted EPS Excluding ExtraOrd Items,0.32,0.34,0.36,0.44,0.41
DPS - Common Stock Primary Issue,0.28,0.30,0.30,0.31,0.32
Diluted Normalised EPS,0.32,0.34,0.36,0.44,0.41
