Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,72.58,66.72,68.31,67.31,71.52
Total Revenue,72.58,66.72,68.31,67.31,71.52
"Selling/General/Admin. Expenses, Total",10.12,9.23,9.68,9.17,9.92
Depreciation/Amortisation,0.86,0.93,0.77,0.90,1.17
Unusual Expense (Income),-0.10,-0.07,0.78,0.33,-0.03
"Other Operating Expenses, Total",1.04,0.83,0.90,1.22,-0.46
Total Operating Expense,71.68,64.98,66.65,65.67,67.49
Operating Income,0.90,1.74,1.66,1.64,4.04
"Interest Inc.(Exp.),Net-Non-Op., Total",0,-0.35,-0.36,-0.54,-0.49
"Other, Net",0,-0.31,0.02,-2.09,0.02
Net Income Before Taxes,0.90,1.08,1.33,-1.00,3.56
Provision for Income Taxes,-0.17,0.32,0.45,0.35,0.67
Net Income After Taxes,1.07,0.76,0.88,-1.34,2.89
Net Income Before Extra. Items,1.07,0.76,0.89,-0.94,2.92
Net Income,1.07,0.76,0.89,-0.94,2.92
Income Available to Com Excl ExtraOrd,1.07,0.76,0.89,-0.94,2.92
Income Available to Com Incl ExtraOrd,1.07,0.76,0.89,-0.94,2.92
Diluted Net Income,1.07,0.76,0.89,-0.94,2.92
Diluted Weighted Average Shares,327.05,324.90,324.90,324.90,324.90
Diluted EPS Excluding ExtraOrd Items,0.00,0.00,0.00,-0.00,0.01
DPS - Common Stock Primary Issue,0.00,0.00,0.00,0,0.00
Diluted Normalised EPS,0.00,0.00,0.00,-0.00,0.01
