Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,0.90,1.08,1.33,-1.00,3.56
Depreciation/Depletion,0.79,0.86,0.94,1.05,1.23
Non-Cash Items,0.65,0.92,1.47,3.76,0.55
Cash Taxes Paid,0.16,0.17,0.40,0.53,0.30
Changes in Working Capital,-2.03,1.45,-0.60,-3.80,2.34
Cash from Operating Activities,0.38,4.39,3.17,0.03,7.71
Capital Expenditures,-0.53,-0.82,-0.93,-6.80,-0.41
"Other Investing Cash Flow Items, Total",0.17,-0.03,0.04,0.11,0.03
Cash from Investing Activities,-0.35,-0.85,-0.89,-6.69,-0.38
Total Cash Dividends Paid,0,0.00,-0.33,0.00,0
"Issuance (Retirement) of Stock, Net",-0.10,0,0,0.05,0.00
Cash from Financing Activities,-0.91,-2.45,-1.48,6.48,-6.57
Foreign Exchange Effects,-0.04,0.05,0.04,-0.01,0.02
Net Change in Cash,-0.91,1.14,0.84,-0.19,0.79
