Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,91.02,111.32,55.36,59.02,191.04
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,107.93,234.32,55.36,59.02,191.04
"Accounts Receivable - Trade, Net",23.61,31.80,37.39,42.39,78.04
"Total Receivables, Net",41.96,41.12,45.34,46.22,81.67
Prepaid Expenses,36.38,25.02,66.72,56.68,38.36
"Other Current Assets, Total",152.25,70.90,47.42,43.55,8.27
Total Current Assets,441.27,438.27,329.59,313.14,451.75
"Property/Plant/Equipment, Total - Gross",1332.11,1396.71,1376.77,1529.39,1568.49
"Accumulated Depreciation, Total",-342.87,-399.74,-436.34,-513.48,-575.78
"Property/Plant/Equipment, Total - Net",989.25,996.98,940.42,1015.91,992.71
"Goodwill, Net",87.31,86.59,81.01,84.39,83.17
"Intangibles, Net",22.56,22.21,20.52,29.95,29.22
Long Term Investments,0.00,5.78,5.78,1.37,0.00
Total Assets,1699.55,1731.00,1571.04,1708.94,1785.92
Accounts Payable,26.06,28.43,28.47,19.16,23.99
Accrued Expenses,24.56,26.90,25.16,27.05,24.69
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",126.46,31.37,31.25,73.55,115.19
Total Current Liabilities,401.29,107.67,114.99,314.46,348.53
Total Long Term Debt,223.64,475.32,350.89,216.62,256.98
Total Debt,447.85,496.29,381.00,411.32,441.65
Deferred Income Tax,22.47,22.06,18.07,21.53,15.66
"Other Liabilities, Total",125.97,103.76,101.07,54.43,38.61
Total Liabilities,818.38,759.09,638.87,664.62,722.34
"Common Stock, Total",394.91,394.91,394.91,394.91,394.91
Retained Earnings (Accumulated Deficit),452.13,547.18,588.26,647.33,715.24
Treasury Stock - Common,0,0,0,0,-5.57
Unrealised Gain (Loss),0.28,0.28,0.28,0.28,0.28
"Other Equity, Total",33.85,29.54,-51.29,1.79,-41.29
Total Equity,881.17,971.91,932.17,1044.31,1063.57
Total Liabilities & Shareholders' Equity,1699.55,1731.00,1571.04,1708.94,1785.92
Total Common Shares Outstanding,1584.07,1584.07,1584.07,1584.07,1578.15
"Tangible Book Value per Share, Common Eq",0.49,0.54,0.52,0.59,0.60
