Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,575.23,646.99,633.49,614.89,660.43
Total Revenue,575.23,646.99,633.49,614.89,660.43
"Selling/General/Admin. Expenses, Total",47.05,50.47,61.35,76.72,78.52
Depreciation/Amortisation,4.29,3.60,3.35,3.19,2.96
Unusual Expense (Income),-13.18,2.38,3.46,-7.91,-3.87
"Other Operating Expenses, Total",1.56,1.56,2.04,0.59,-3.50
Total Operating Expense,367.53,420.07,446.34,460.31,470.42
Operating Income,207.71,226.92,187.15,154.58,190.01
"Interest Inc.(Exp.),Net-Non-Op., Total",-23.85,-15.71,-8.30,-21.59,-32.85
"Other, Net",-0.79,-2.34,2.26,-1.78,-0.32
Net Income Before Taxes,183.07,208.88,181.12,131.20,156.84
Provision for Income Taxes,51.28,63.65,53.43,38.03,49.45
Net Income After Taxes,131.79,145.23,127.69,93.18,107.39
Net Income Before Extra. Items,125.37,137.70,120.00,89.13,99.67
Net Income,125.37,137.70,120.00,89.13,99.67
Income Available to Com Excl ExtraOrd,125.37,137.70,120.00,89.13,99.67
Income Available to Com Incl ExtraOrd,125.37,137.70,120.00,89.13,99.67
Diluted Net Income,125.37,137.70,120.00,89.13,99.67
Diluted Weighted Average Shares,1584.07,1584.07,1584.07,1584.07,1581.73
Diluted EPS Excluding ExtraOrd Items,0.08,0.09,0.08,0.06,0.06
DPS - Common Stock Primary Issue,0.02,0.03,0.02,0.02,0.02
Diluted Normalised EPS,0.07,0.09,0.08,0.05,0.06
