Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,48.78,40.61,42.84,38.12,33.63
Total Revenue,48.78,40.61,42.84,38.12,33.63
"Selling/General/Admin. Expenses, Total",10.44,10.10,9.92,8.66,7.88
Depreciation/Amortisation,1.99,1.72,1.44,2.23,2.17
Unusual Expense (Income),0.02,-5.83,-0.48,0.13,-0.18
"Other Operating Expenses, Total",-3.80,-2.59,-2.53,-3.57,-1.84
Total Operating Expense,43.94,32.90,38.91,34.97,29.58
Operating Income,4.84,7.70,3.93,3.15,4.05
"Interest Inc.(Exp.),Net-Non-Op., Total",-0.07,-0.03,-0.02,-0.33,-0.41
"Other, Net",0,0,0,0,0
Net Income Before Taxes,4.78,7.67,3.91,2.82,3.64
Provision for Income Taxes,0.78,0.17,0.48,0.61,0.74
Net Income After Taxes,3.99,7.51,3.42,2.21,2.91
Net Income Before Extra. Items,3.99,7.51,3.42,2.21,2.91
Net Income,3.99,7.51,3.42,2.21,2.91
Income Available to Com Excl ExtraOrd,3.99,7.51,3.42,2.21,2.91
Income Available to Com Incl ExtraOrd,3.99,7.51,3.42,2.21,2.91
Diluted Net Income,3.99,7.51,3.42,2.21,2.91
Diluted Weighted Average Shares,53.25,53.25,53.25,53.25,53.25
Diluted EPS Excluding ExtraOrd Items,0.07,0.14,0.06,0.04,0.05
DPS - Common Stock Primary Issue,0.05,0.05,0.03,0.03,0.03
Diluted Normalised EPS,0.08,0.03,0.06,0.04,0.05
