Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,4.78,7.67,3.91,2.82,3.64
Depreciation/Depletion,3.70,3.33,3.04,4.13,3.81
Non-Cash Items,0.19,-5.80,-0.58,0.46,1.23
Cash Taxes Paid,0.73,0.85,0.54,0.70,0.76
Changes in Working Capital,0.06,0.69,-2.00,-0.56,2.35
Cash from Operating Activities,8.74,5.89,4.36,6.85,11.03
Capital Expenditures,-1.94,-1.55,-1.86,-1.43,-4.35
"Other Investing Cash Flow Items, Total",0.18,15.25,-10.25,0.58,0.24
Cash from Investing Activities,-1.76,13.71,-12.10,-0.85,-4.11
Total Cash Dividends Paid,-1.60,-2.66,-2.66,-1.60,-1.60
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,-3.09,-3.87,-2.87,-3.56,-3.53
Foreign Exchange Effects,-0.06,0.12,-0.02,-0.02,0.01
Net Change in Cash,3.82,15.84,-10.63,2.42,3.40
