Fiscal Year,2017,2018,2019,2020,2021
Period Ended,28 Feb 2017,28 Feb 2018,28 Feb 2019,29 Feb 2020,28 Feb 2021
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,632.59,611.58,556.33,617.24,223.40
Total Revenue,632.59,611.58,556.33,617.24,223.40
"Selling/General/Admin. Expenses, Total",95.09,91.14,97.41,79.59,35.76
Depreciation/Amortisation,4.98,4.96,5.61,15.11,13.80
Unusual Expense (Income),0.04,0.04,1.27,16.12,11.04
"Other Operating Expenses, Total",12.20,17.77,18.81,18.47,7.93
Total Operating Expense,534.76,542.24,488.32,586.41,256.58
Operating Income,97.83,69.33,68.00,30.83,-33.18
"Interest Inc.(Exp.),Net-Non-Op., Total",0,-0.35,-0.55,-6.82,-6.18
"Other, Net",0,0,0,0,0
Net Income Before Taxes,97.83,68.99,67.45,24.01,-39.36
Provision for Income Taxes,20.87,20.77,14.88,12.90,7.16
Net Income After Taxes,76.97,48.22,52.58,11.11,-46.53
Net Income Before Extra. Items,72.73,41.67,46.52,10.88,-41.78
Net Income,72.73,41.67,46.52,10.88,-41.78
Income Available to Com Excl ExtraOrd,72.73,41.67,46.52,10.88,-41.78
Income Available to Com Incl ExtraOrd,72.73,41.67,46.52,10.88,-41.78
Diluted Net Income,72.73,41.67,46.52,10.88,-41.78
Diluted Weighted Average Shares,1167.06,1219.41,1211.64,1201.63,1198.20
Diluted EPS Excluding ExtraOrd Items,0.06,0.03,0.04,0.01,-0.03
DPS - Common Stock Primary Issue,0.08,0.05,0.05,0.02,0
Diluted Normalised EPS,0.06,0.03,0.04,0.02,-0.03
