Fiscal Year,2017,2018,2019,2020,2021
Period Ended,28 Feb 2017,28 Feb 2018,28 Feb 2019,29 Feb 2020,28 Feb 2021
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,97.83,68.99,67.45,24.01,-39.36
Depreciation/Depletion,4.98,4.96,5.45,14.99,13.62
Non-Cash Items,-13.32,5.20,-11.89,19.76,13.88
Cash Taxes Paid,26.22,23.19,16.93,10.44,8.71
Changes in Working Capital,33.89,44.46,-32.36,-18.03,25.96
Cash from Operating Activities,123.38,123.60,28.81,40.85,14.27
Capital Expenditures,-4.28,-2.37,-4.83,-2.74,-0.22
"Other Investing Cash Flow Items, Total",5.63,7.66,-22.17,40.79,5.53
Cash from Investing Activities,1.35,5.29,-27.00,38.05,5.31
Total Cash Dividends Paid,-43.23,-79.78,-65.14,-54.87,0.00
"Issuance (Retirement) of Stock, Net",92.79,29.83,-5.99,-5.51,0.00
Cash from Financing Activities,91.73,-4.55,-75.05,-54.45,-159.12
Foreign Exchange Effects,6.24,-21.72,5.53,4.30,-0.42
Net Change in Cash,222.70,102.62,-67.72,28.76,-139.95
