Fiscal Year,2017,2018,2019,2020,2021
Period Ended,28 Feb 2017,28 Feb 2018,28 Feb 2019,29 Feb 2020,28 Feb 2021
Source,ARS,Interim Report,ARS,ARS,ARS
Cash,0,0,0,0,0
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,91.36,231.26,192.06,123.90,61.50
"Accounts Receivable - Trade, Net",6.52,5.47,16.80,19.41,2.12
"Total Receivables, Net",56.80,60.14,103.60,77.89,57.51
Prepaid Expenses,11.71,12.34,12.78,2.75,2.70
"Other Current Assets, Total",184.37,144.96,117.95,216.68,139.17
Total Current Assets,544.41,584.31,597.30,554.66,333.66
"Property/Plant/Equipment, Total - Gross",147.49,135.98,139.06,269.15,255.05
"Accumulated Depreciation, Total",-73.11,-64.14,-68.52,-76.42,-77.09
"Property/Plant/Equipment, Total - Net",74.38,71.84,70.54,192.73,177.96
"Goodwill, Net",28.82,28.82,28.82,17.29,5.82
"Intangibles, Net",0.00,0.00,0.89,0.34,0.16
Long Term Investments,0,0,0,0,0
Total Assets,721.54,749.06,752.84,769.88,525.89
Accounts Payable,69.37,66.42,78.89,48.72,22.13
Accrued Expenses,17.00,0,16.87,8.85,6.31
Notes Payable/Short Term Debt,5.54,15.20,20.82,34.34,6.25
"Other Current liabilities, Total",71.43,62.21,41.83,12.23,14.04
Total Current Liabilities,163.78,144.24,177.77,121.33,49.36
Total Long Term Debt,1.10,0.76,0.65,84.25,87.51
Total Debt,7.07,16.37,21.94,120.70,94.38
Deferred Income Tax,4.37,4.38,4.61,6.19,6.27
"Other Liabilities, Total",0.00,0,0.52,0.72,0.89
Total Liabilities,185.46,167.03,198.39,228.77,155.97
"Common Stock, Total",576.94,616.75,616.75,616.75,487.90
Retained Earnings (Accumulated Deficit),-40.36,-24.24,-45.67,-54.48,-95.82
Treasury Stock - Common,-0.53,-10.52,-16.50,-22.02,-22.02
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",0.03,0.03,-0.12,0.85,-0.14
Total Equity,536.08,582.03,554.45,541.11,369.93
Total Liabilities & Shareholders' Equity,721.54,749.06,752.84,769.88,525.89
Total Common Shares Outstanding,1194.35,1218.05,1208.45,1198.20,1198.20
"Tangible Book Value per Share, Common Eq",0.42,0.45,0.43,0.44,0.30
