Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,41.55,43.24,54.22,58.76,54.33
Total Revenue,41.55,43.24,54.22,58.76,54.33
"Selling/General/Admin. Expenses, Total",7.00,8.18,8.51,7.94,8.10
Depreciation/Amortisation,0.51,0,0,0,0
Unusual Expense (Income),-0.84,-0.16,-0.31,-0.05,0.00
"Other Operating Expenses, Total",-1.59,-1.79,-2.16,5.97,-7.13
Total Operating Expense,34.90,40.41,50.58,63.92,53.29
Operating Income,6.66,2.83,3.64,-5.16,1.04
"Interest Inc.(Exp.),Net-Non-Op., Total",-1.37,-1.29,-2.07,-2.59,-2.05
"Other, Net",-0.12,0,0,0,0
Net Income Before Taxes,5.16,1.54,1.57,-7.75,-1.01
Provision for Income Taxes,0.42,0.39,-0.65,0.37,-0.68
Net Income After Taxes,4.74,1.14,2.23,-8.12,-0.34
Net Income Before Extra. Items,4.78,1.18,2.25,-8.12,-0.34
Net Income,4.78,1.18,2.25,-8.12,-0.34
Income Available to Com Excl ExtraOrd,4.78,1.18,2.25,-8.12,-0.34
Income Available to Com Incl ExtraOrd,4.78,1.18,2.25,-8.12,-0.34
Diluted Net Income,4.78,1.18,2.25,-8.12,-0.34
Diluted Weighted Average Shares,308.07,308.07,308.07,308.07,308.07
Diluted EPS Excluding ExtraOrd Items,0.02,0.00,0.01,-0.03,-0.00
DPS - Common Stock Primary Issue,0,0,0.00,0.00,0
Diluted Normalised EPS,0.01,0.00,0.01,-0.01,0.00
