Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,4.74,1.14,2.23,-8.12,-0.34
Depreciation/Depletion,11.12,11.34,11.52,14.03,13.70
Non-Cash Items,-2.53,0.80,1.85,11.42,4.00
Cash Taxes Paid,0,0.00,0.01,0.00,0.31
Changes in Working Capital,-0.48,2.73,-3.95,0.72,-0.57
Cash from Operating Activities,12.85,16.01,11.64,18.06,16.79
Capital Expenditures,-3.03,-1.57,-5.95,-0.69,-1.76
"Other Investing Cash Flow Items, Total",0.48,0.61,0.47,-0.14,2.93
Cash from Investing Activities,-2.55,-0.96,-5.47,-0.83,1.17
Total Cash Dividends Paid,0,0,0,-0.15,0.00
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,-11.47,-13.85,-4.07,-16.38,-11.83
Foreign Exchange Effects,0.05,-0.01,0.23,0.02,0.10
Net Change in Cash,-1.11,1.19,2.33,0.88,6.23
