Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Source,ARS,ARS,Interim Report,ARS,ARS
Cash,0,0,0,0,0
Short Term Investments,0.00,0,0,0,0
Cash and Short Term Investments,69.51,63.39,40.86,54.75,10.17
"Accounts Receivable - Trade, Net",3.34,3.47,4.82,4.16,14.64
"Total Receivables, Net",19.97,15.01,23.73,22.59,16.47
Prepaid Expenses,5.72,5.74,3.73,2.83,1.27
"Other Current Assets, Total",4.11,4.29,3.93,1.89,13.24
Total Current Assets,176.25,159.75,130.48,135.38,82.42
"Property/Plant/Equipment, Total - Gross",251.13,291.27,284.13,264.41,0
"Accumulated Depreciation, Total",-105.49,-145.81,-163.52,-169.27,0
"Property/Plant/Equipment, Total - Net",145.64,145.46,120.61,95.14,323.89
"Goodwill, Net",4.20,0.00,0.00,0.00,0
"Intangibles, Net",1.35,1.12,1.08,0.86,0.47
Long Term Investments,0.08,0.08,0.08,0.92,0.18
Total Assets,374.08,340.32,285.78,258.18,443.45
Accounts Payable,139.38,160.61,147.70,140.12,97.69
Accrued Expenses,11.36,15.03,14.53,21.72,0
Notes Payable/Short Term Debt,0.00,0.00,3.18,3.89,0.00
"Other Current liabilities, Total",36.87,39.57,35.50,30.73,35.71
Total Current Liabilities,187.61,215.21,201.37,196.72,199.79
Total Long Term Debt,0.00,0.00,0.24,11.85,298.05
Total Debt,0.00,0.00,3.88,16.00,364.44
Deferred Income Tax,0.39,0.43,0.45,0.44,0.44
"Other Liabilities, Total",28.75,34.38,35.06,34.38,11.14
Total Liabilities,216.15,246.46,234.20,243.35,509.30
"Common Stock, Total",231.68,231.68,231.68,231.68,231.68
Retained Earnings (Accumulated Deficit),-23.48,-84.89,-127.38,-164.73,-296.98
Treasury Stock - Common,-0.55,-0.55,-0.55,-0.55,-0.55
Unrealised Gain (Loss),0,0,0.00,0.84,0
"Other Equity, Total",-49.72,-52.38,-52.17,-52.41,0
Total Equity,157.92,93.86,51.58,14.83,-65.85
Total Liabilities & Shareholders' Equity,374.08,340.32,285.78,258.18,443.45
Total Common Shares Outstanding,673.80,673.80,673.80,673.80,673.80
"Tangible Book Value per Share, Common Eq",0.23,0.14,0.07,0.02,-0.10
