Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-1.94,-3.90,-0.29,25.41,2.69
Depreciation/Depletion,1.14,1.53,0.04,0.91,0.93
Non-Cash Items,-0.57,0.63,-1.00,2.49,2.26
Cash Taxes Paid,0.12,-0.03,0.00,0.86,0.01
Changes in Working Capital,-0.92,0.08,1.89,-23.81,-3.51
Cash from Operating Activities,-2.29,-1.66,0.64,5.36,2.56
Capital Expenditures,-4.49,-0.34,-0.07,-0.45,-0.07
"Other Investing Cash Flow Items, Total",0.05,0.00,-0.02,-0.63,0.06
Cash from Investing Activities,-4.45,-0.34,-0.09,-1.08,-0.02
Total Cash Dividends Paid,0,0,0,0,-1.85
"Issuance (Retirement) of Stock, Net",8.28,0,0.00,3.44,0.00
Cash from Financing Activities,6.78,1.69,0.03,0.00,-2.60
Foreign Exchange Effects,0,0,0.00,0.01,0.03
Net Change in Cash,0.04,-0.31,0.58,4.30,-0.02
