Fiscal Year,2012,2013,2014,2015,2016
Period Ended,31 Aug 2012,31 Aug 2013,31 Aug 2014,31 Aug 2015,31 Aug 2016
Source,ARS,ARS,ARS,ARS,PRESS
Net Income/Starting Line,88.05,92.28,74.70,120.51,-919.94
Depreciation/Depletion,45.33,58.23,71.29,103.09,110.33
Non-Cash Items,-21.58,-84.29,3.27,-114.20,819.16
Cash Taxes Paid,11.78,30.04,16.44,27.22,11.74
Changes in Working Capital,-175.50,-82.72,-50.08,31.16,-61.37
Cash from Operating Activities,-60.83,-14.85,100.02,142.52,-50.98
Capital Expenditures,-288.88,-248.79,-327.40,-320.51,-168.38
"Other Investing Cash Flow Items, Total",23.26,153.17,-3.58,65.32,262.03
Cash from Investing Activities,-265.62,-95.62,-330.98,-255.19,93.65
Total Cash Dividends Paid,0,0,-3.81,0.00,0
"Issuance (Retirement) of Stock, Net",95.18,0.00,0,204.55,-106.23
Cash from Financing Activities,344.18,145.08,231.74,369.68,-436.60
Foreign Exchange Effects,-0.42,5.12,0.50,-5.56,2.14
Net Change in Cash,17.31,39.72,1.29,251.46,-391.79
