Fiscal Year,2012,2013,2014,2015,2016
Period Ended,31 Aug 2012,31 Aug 2013,31 Aug 2014,31 Aug 2015,31 Aug 2016
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,PRESS
Revenue,984.18,1262.07,489.94,543.84,525.11
Total Revenue,984.18,1262.07,489.94,543.84,525.11
"Selling/General/Admin. Expenses, Total",133.86,165.74,65.10,81.82,232.55
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),-6.77,-28.86,-4.19,-95.95,0
"Other Operating Expenses, Total",-4.77,-7.57,-5.60,-7.19,602.90
Total Operating Expense,866.30,1153.35,456.03,410.77,1375.45
Operating Income,117.88,108.72,33.92,133.07,-850.35
"Interest Inc.(Exp.),Net-Non-Op., Total",-29.83,-16.43,1.50,-12.56,-69.60
"Other, Net",0,0,0,0,0
Net Income Before Taxes,88.05,92.28,35.41,120.51,-919.94
Provision for Income Taxes,22.03,28.22,7.71,13.20,7.88
Net Income After Taxes,66.02,64.06,27.70,107.32,-927.82
Net Income Before Extra. Items,66.11,53.65,18.95,84.03,-813.42
Net Income,66.11,53.65,45.27,43.73,-887.75
Income Available to Com Excl ExtraOrd,66.11,53.65,18.95,84.03,-813.42
Income Available to Com Incl ExtraOrd,66.11,53.65,45.27,43.73,-887.75
Diluted Net Income,66.11,53.65,45.27,43.73,-887.75
Diluted Weighted Average Shares,1570.13,1675.97,1673.26,1908.40,2938.96
Diluted EPS Excluding ExtraOrd Items,0.04,0.03,0.01,0.04,-0.28
DPS - Common Stock Primary Issue,0.00,0.00,0,0,0
Diluted Normalised EPS,0.04,0.02,0.01,-0.00,-0.15
