Fiscal Year,2017,2018,2019,2020,2020.1
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,0,0,0,0,0
Short Term Investments,0,0.30,0.29,0.14,0.36
Cash and Short Term Investments,3.19,19.47,9.37,11.64,32.00
"Accounts Receivable - Trade, Net",13.16,6.89,4.55,1.82,2.24
"Total Receivables, Net",22.79,20.84,25.69,32.17,2.45
Prepaid Expenses,0.09,0.02,0.04,0.04,0.03
"Other Current Assets, Total",0,0,0,0,0
Total Current Assets,51.82,40.34,35.10,43.85,34.47
"Property/Plant/Equipment, Total - Gross",0,0,0,0,0
"Accumulated Depreciation, Total",0,0,0,0,0
"Property/Plant/Equipment, Total - Net",1.51,2.76,0.42,0.06,0.05
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0,0,0,0,0
Long Term Investments,65.03,341.58,346.68,343.52,339.69
Total Assets,118.36,384.67,382.19,387.43,374.22
Accounts Payable,3.53,4.17,2.83,2.32,2.29
Accrued Expenses,0,0,0,0,0
Notes Payable/Short Term Debt,0.00,45.80,15.09,0.00,0.00
"Other Current liabilities, Total",17.20,5.32,5.73,6.17,4.73
Total Current Liabilities,47.09,60.77,30.73,30.76,37.91
Total Long Term Debt,17.37,121.43,143.68,146.75,136.95
Total Debt,43.73,172.71,165.85,169.01,167.83
Deferred Income Tax,0.54,0.20,0.11,0.01,0.01
"Other Liabilities, Total",0,14.49,14.49,14.49,3.75
Total Liabilities,65.00,196.89,189.02,192.01,178.61
"Common Stock, Total",54.81,140.10,140.10,140.10,140.10
Retained Earnings (Accumulated Deficit),-1.45,47.68,53.07,55.32,55.51
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",0,0,0,0,0
Total Equity,53.36,187.78,193.17,195.42,195.61
Total Liabilities & Shareholders' Equity,118.36,384.67,382.19,387.43,374.22
Total Common Shares Outstanding,627.12,2759.47,2759.47,2759.47,2759.47
"Tangible Book Value per Share, Common Eq",0.09,0.07,0.07,0.07,0.07
