Fiscal Year,2017,2018,2019,2020,2020.1
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,2.61,58.01,5.43,2.80,0.72
Depreciation/Depletion,0.63,0.70,0.70,0.37,0.03
Non-Cash Items,-2.04,-53.48,0.96,6.43,3.65
Cash Taxes Paid,-0.22,0.93,0.62,0.26,0.91
Changes in Working Capital,8.65,23.92,-3.47,-2.50,-3.29
Cash from Operating Activities,9.85,29.16,3.62,7.10,1.10
Capital Expenditures,-0.00,-0.46,-0.01,-0.02,-0.02
"Other Investing Cash Flow Items, Total",-6.40,7.65,-6.83,-7.82,20.26
Cash from Investing Activities,-6.40,7.19,-6.84,-7.84,20.24
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,-10.20,-20.37,-6.86,3.16,-1.20
Foreign Exchange Effects,0,0,0,0,0
Net Change in Cash,-6.75,15.98,-10.08,2.42,20.14
