Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Period Length,15 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,PRESS,PRESS
Revenue,54.14,31.85,29.07,27.55,24.92
Total Revenue,54.14,31.85,29.07,27.55,24.92
"Selling/General/Admin. Expenses, Total",27.29,22.28,17.30,14.44,11.77
Depreciation/Amortisation,2.00,1.19,0.46,0,0
Unusual Expense (Income),1.07,-3.89,0.51,0,0
"Other Operating Expenses, Total",1.42,4.33,-1.13,-0.35,-4.25
Total Operating Expense,62.45,41.34,33.21,28.44,20.66
Operating Income,-8.31,-9.49,-4.14,-0.89,4.26
"Interest Inc.(Exp.),Net-Non-Op., Total",0,-0.85,-1.27,-1.10,-0.76
"Other, Net",0,-0.05,-0.03,0,0
Net Income Before Taxes,-8.31,-10.39,-5.43,-1.98,3.50
Provision for Income Taxes,0.87,0.42,0.39,0.11,0.32
Net Income After Taxes,-9.18,-10.81,-5.83,-2.09,3.17
Net Income Before Extra. Items,-9.18,-10.81,-5.83,-2.09,3.17
Net Income,-9.18,-10.81,-5.83,-2.09,3.17
Income Available to Com Excl ExtraOrd,-9.18,-10.81,-5.83,-2.09,3.17
Income Available to Com Incl ExtraOrd,-9.18,-10.81,-5.83,-2.09,3.17
Diluted Net Income,-9.18,-10.81,-5.83,-2.09,3.17
Diluted Weighted Average Shares,373.39,439.40,439.40,439.40,439.40
Diluted EPS Excluding ExtraOrd Items,-0.02,-0.02,-0.01,-0.00,0.01
DPS - Common Stock Primary Issue,0.00,0,0,0,0
Diluted Normalised EPS,-0.02,-0.03,-0.01,-0.00,0.01
