Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,65.29,56.10,47.13,45.30,35.60
Total Revenue,65.29,56.10,47.13,45.30,35.60
"Selling/General/Admin. Expenses, Total",27.81,28.59,23.57,24.46,20.13
Depreciation/Amortisation,6.98,6.85,6.85,7.03,7.27
Unusual Expense (Income),-0.60,0.13,0.00,1.60,1.06
"Other Operating Expenses, Total",21.59,12.29,10.49,8.79,7.36
Total Operating Expense,60.53,52.71,45.05,45.95,39.05
Operating Income,4.76,3.39,2.08,-0.65,-3.45
"Interest Inc.(Exp.),Net-Non-Op., Total",-5.05,-4.41,-3.37,-3.36,-3.68
"Other, Net",0,0,0,0,-0.04
Net Income Before Taxes,-0.29,-1.02,-1.30,-4.01,-7.16
Provision for Income Taxes,0.37,0.56,0.58,0.37,-0.71
Net Income After Taxes,-0.66,-1.58,-1.88,-4.38,-6.45
Net Income Before Extra. Items,-0.79,-1.60,-1.85,-4.35,-6.41
Net Income,-0.48,-1.60,-2.75,-5.37,-6.75
Income Available to Com Excl ExtraOrd,-0.79,-1.60,-1.85,-4.35,-6.41
Income Available to Com Incl ExtraOrd,-0.48,-1.60,-2.75,-5.37,-6.75
Diluted Net Income,-0.48,-1.60,-2.75,-5.37,-6.75
Diluted Weighted Average Shares,483.17,483.17,483.17,483.17,483.17
Diluted EPS Excluding ExtraOrd Items,-0.00,-0.00,-0.00,-0.01,-0.01
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,-0.00,-0.00,-0.00,-0.01,-0.01
