Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-9.73,-2.43,-1.32,-6.78,0.29
Depreciation/Depletion,7.87,6.56,1.17,0.24,0.33
Non-Cash Items,5.93,-11.52,-3.55,-0.79,0.08
Cash Taxes Paid,3.93,0.64,0.30,0.40,0.04
Changes in Working Capital,-2.84,10.16,1.68,13.45,0.52
Cash from Operating Activities,1.24,3.26,-2.03,6.12,1.22
Capital Expenditures,-2.22,-3.59,-0.04,0.00,0
"Other Investing Cash Flow Items, Total",1.35,3.79,0.10,-1.74,0.00
Cash from Investing Activities,-0.87,0.20,0.06,-1.74,0.00
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,-7.67,-4.59,-1.34,-0.13,-0.27
Foreign Exchange Effects,0.05,0.00,-0.14,-0.01,-0.00
Net Change in Cash,-7.25,-1.13,-3.44,4.23,0.95
