Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,17.07,77.00,19.21,14.56,-26.18
Depreciation/Depletion,1.37,1.57,2.35,4.45,5.99
Non-Cash Items,-2.61,-72.59,-12.72,1.05,19.89
Cash Taxes Paid,-0.15,1.90,3.21,1.92,1.19
Changes in Working Capital,-23.94,36.78,7.00,-8.25,-19.48
Cash from Operating Activities,-8.11,42.75,15.85,11.81,-19.78
Capital Expenditures,-27.99,-14.25,-104.79,-174.20,-33.16
"Other Investing Cash Flow Items, Total",26.87,-27.54,78.63,27.14,26.79
Cash from Investing Activities,-1.12,-41.78,-26.16,-147.07,-6.37
Total Cash Dividends Paid,-1.95,-1.95,-3.25,-1.95,-1.46
"Issuance (Retirement) of Stock, Net",0.00,0,0,0,0
Cash from Financing Activities,16.23,-2.28,59.78,176.75,-33.51
Foreign Exchange Effects,-1.56,0.17,-1.14,0.48,0.41
Net Change in Cash,5.44,-1.14,48.34,41.96,-59.25
