Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,27.11,22.32,46.31,63.92,49.05
Short Term Investments,4.04,0.86,39.22,55.69,15.19
Cash and Short Term Investments,31.15,23.18,85.53,119.61,64.24
"Accounts Receivable - Trade, Net",1.15,7.95,1.28,1.72,0.53
"Total Receivables, Net",18.90,34.16,37.22,43.94,23.31
Prepaid Expenses,1.49,1.29,2.17,2.94,2.65
"Other Current Assets, Total",0,55.27,6.61,0,4.50
Total Current Assets,158.33,167.07,163.61,201.30,130.45
"Property/Plant/Equipment, Total - Gross",125.72,144.18,226.39,410.28,449.43
"Accumulated Depreciation, Total",-5.39,-6.89,-9.48,-14.80,-62.44
"Property/Plant/Equipment, Total - Net",120.34,137.29,216.91,395.48,386.98
"Goodwill, Net",0.11,0.11,0.11,0,0
"Intangibles, Net",0,0,0,0.11,0.11
Long Term Investments,325.65,328.28,307.37,304.93,337.55
Total Assets,733.99,819.65,855.63,1067.10,1042.48
Accounts Payable,6.77,3.82,2.89,1.90,3.82
Accrued Expenses,4.23,5.47,8.00,9.77,7.95
Notes Payable/Short Term Debt,14.00,11.50,0.00,0.00,0.00
"Other Current liabilities, Total",4.78,15.99,8.99,12.51,9.22
Total Current Liabilities,209.31,119.28,124.09,119.11,110.06
Total Long Term Debt,104.11,197.85,219.95,414.38,391.44
Total Debt,297.65,291.84,324.16,509.31,480.51
Deferred Income Tax,3.13,0.87,0.91,1.58,1.40
"Other Liabilities, Total",71.86,89.53,89.79,93.88,126.70
Total Liabilities,390.18,409.92,436.44,632.37,612.15
"Common Stock, Total",86.62,86.62,86.62,86.62,86.62
Retained Earnings (Accumulated Deficit),263.77,322.18,336.56,347.79,339.87
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),2.77,0.00,0.00,0,0
"Other Equity, Total",-9.34,0.93,-3.99,0.33,3.83
Total Equity,343.81,409.73,419.19,434.74,430.33
Total Liabilities & Shareholders' Equity,733.99,819.65,855.63,1067.10,1042.48
Total Common Shares Outstanding,487.73,487.73,487.73,487.73,487.73
"Tangible Book Value per Share, Common Eq",0.70,0.84,0.86,0.89,0.88
